languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVT,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.1,Ezra 1:1,0,波斯 王 居魯士 元年，耶和華為要應驗藉 耶利米 的口所說的話，就激發 波斯 王 居魯士 的心，使他下詔書通告全國，說：
zh,RCUVT,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.2,Ezra 1:2,1,「 波斯 王 居魯士 如此說：耶和華天上的上帝已將地上萬國賜給我，又委派我在 猶大 的 耶路撒冷 為他建造殿宇。
zh,RCUVT,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.3,Ezra 1:3,2,你們中間凡作他子民的，可以上 猶大 的 耶路撒冷 去，重建耶和華－ 以色列 上帝的殿，他是在 耶路撒冷 的上帝；願上帝與這人同在。
zh,RCUVT,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.4,Ezra 1:4,3,凡存留的人，無論寄居何處，那地的人要用金銀、財物、牲畜幫助他，還要為 耶路撒冷 上帝的殿甘心獻上禮物。」
zh,RCUVT,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.5,Ezra 1:5,4,於是， 猶大 和 便雅憫 的族長、祭司、 利未 人，凡是心被上帝感動的人都起來，要上 耶路撒冷 去建造耶和華的殿。
zh,RCUVT,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.6,Ezra 1:6,5,四圍所有的人都拿銀器 、金子、財物、牲畜、珍寶支持他們 ，此外還有甘心獻的一切禮物 。
zh,RCUVT,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.7,Ezra 1:7,6,居魯士 王也把耶和華殿的器皿拿出來，這些器皿是 尼布甲尼撒 從 耶路撒冷 掠取，放在自己神明廟中的。
zh,RCUVT,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.8,Ezra 1:8,7,波斯 王 居魯士 派 米提利達 司庫把這些器皿拿出來，點交給 猶大 的領袖 設巴薩 。
zh,RCUVT,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.9,Ezra 1:9,8,它們的數目如下：金盤三十個，銀盤一千個，刀二十九把，
zh,RCUVT,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.10,Ezra 1:10,9,金碗三十個，備用銀碗四百一十個，其他器皿一千件。
zh,RCUVT,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.11,Ezra 1:11,10,金銀器皿共有五千四百件。被擄的人從 巴比倫 上 耶路撒冷 的時候， 設巴薩 把這一切都帶了上來。
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.1,Ezra 2:1,0,這些是從被擄之地上來的省民， 巴比倫 王 尼布甲尼撒 把他們擄到 巴比倫 ，他們重返 耶路撒冷 和 猶大 ，各歸本城。
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.2,Ezra 2:2,1,他們是同 所羅巴伯 、 耶書亞 、 尼希米 、 西萊雅 、 利來雅 、 末底改 、 必珊 、 米斯拔 、 比革瓦伊 、 利宏 、 巴拿 一起回來的。 以色列 百姓的人數如下：
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.3,Ezra 2:3,2,巴錄 的子孫二千一百七十二名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.4,Ezra 2:4,3,示法提雅 的子孫三百七十二名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.5,Ezra 2:5,4,亞拉 的子孫七百七十五名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.6,Ezra 2:6,5,巴哈‧摩押 的後裔，就是 耶書亞 和 約押 的子孫二千八百一十二名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.7,Ezra 2:7,6,以攔 的子孫一千二百五十四名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.8,Ezra 2:8,7,薩土 的子孫九百四十五名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.9,Ezra 2:9,8,薩改 的子孫七百六十名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.10,Ezra 2:10,9,巴尼 的子孫六百四十二名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.11,Ezra 2:11,10,比拜 的子孫六百二十三名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.12,Ezra 2:12,11,押甲 的子孫一千二百二十二名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.13,Ezra 2:13,12,亞多尼干 的子孫六百六十六名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.14,Ezra 2:14,13,比革瓦伊 的子孫二千零五十六名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.15,Ezra 2:15,14,亞丁 的子孫四百五十四名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.16,Ezra 2:16,15,亞特 的後裔，就是 希西家 的子孫九十八名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.17,Ezra 2:17,16,比賽 的子孫三百二十三名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.18,Ezra 2:18,17,約拉 的子孫一百一十二名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.19,Ezra 2:19,18,哈順 的子孫二百二十三名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.20,Ezra 2:20,19,吉罷珥 人九十五名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.21,Ezra 2:21,20,伯利恆 人一百二十三名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.22,Ezra 2:22,21,尼陀法 人五十六名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.23,Ezra 2:23,22,亞拿突 人一百二十八名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.24,Ezra 2:24,23,亞斯瑪弗 人四十二名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.25,Ezra 2:25,24,基列‧耶琳 人、 基非拉 人、 比錄 人共七百四十三名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.26,Ezra 2:26,25,拉瑪 人和 迦巴 人共六百二十一名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.27,Ezra 2:27,26,默瑪 人一百二十二名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.28,Ezra 2:28,27,伯特利 人和 艾 人共二百二十三名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.29,Ezra 2:29,28,尼波 人五十二名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.30,Ezra 2:30,29,末必 人一百五十六名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.31,Ezra 2:31,30,另一個 以攔 的子孫一千二百五十四名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.32,Ezra 2:32,31,哈琳 的子孫三百二十名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.33,Ezra 2:33,32,羅德 人、 哈第 人、 阿挪 人共七百二十五名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.34,Ezra 2:34,33,耶利哥 人三百四十五名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.35,Ezra 2:35,34,西拿 人三千六百三十名。
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.36,Ezra 2:36,35,祭司： 耶書亞 家 耶大雅 的子孫九百七十三名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.37,Ezra 2:37,36,音麥 的子孫一千零五十二名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.38,Ezra 2:38,37,巴施戶珥 的子孫一千二百四十七名；
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.39,Ezra 2:39,38,哈琳 的子孫一千零一十七名。
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.40,Ezra 2:40,39,利未 人： 何達威雅 的後裔，就是 耶書亞 和 甲篾 的子孫七十四名。
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.41,Ezra 2:41,40,歌唱的： 亞薩 的子孫一百二十八名。
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.42,Ezra 2:42,41,門口的守衛： 沙龍 的子孫、 亞特 的子孫、 達們 的子孫、 亞谷 的子孫、 哈底大 的子孫、 朔拜 的子孫，共一百三十九名。
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.43,Ezra 2:43,42,殿役： 西哈 的子孫、 哈蘇巴 的子孫、 答巴俄 的子孫、
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.44,Ezra 2:44,43,基綠 的子孫、 西亞 的子孫、 巴頓 的子孫、
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.45,Ezra 2:45,44,利巴拿 的子孫、 哈迦巴 的子孫、 亞谷 的子孫、
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.46,Ezra 2:46,45,哈甲 的子孫、 薩買 的子孫、 哈難 的子孫、
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.47,Ezra 2:47,46,吉德 的子孫、 迦哈 的子孫、 利亞雅 的子孫、
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.48,Ezra 2:48,47,利汛 的子孫、 尼哥大 的子孫、 迦散 的子孫、
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.49,Ezra 2:49,48,烏撒 的子孫、 巴西亞 的子孫、 比賽 的子孫、
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.50,Ezra 2:50,49,押拿 的子孫、 米烏寧 的子孫、 尼普心 的子孫、
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.51,Ezra 2:51,50,巴卜 的子孫、 哈古巴 的子孫、 哈忽 的子孫、
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.52,Ezra 2:52,51,巴洗律 的子孫、 米希大 的子孫、 哈沙 的子孫、
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.53,Ezra 2:53,52,巴柯 的子孫、 西西拉 的子孫、 答瑪 的子孫、
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.54,Ezra 2:54,53,尼細亞 的子孫、 哈提法 的子孫。
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.55,Ezra 2:55,54,所羅門 僕人的後裔： 瑣太 的子孫、 瑣斐列 的子孫、 比路大 的子孫、
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.56,Ezra 2:56,55,雅拉 的子孫、 達昆 的子孫、 吉德 的子孫、
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.57,Ezra 2:57,56,示法提雅 的子孫、 哈替 的子孫、 玻黑列‧哈斯巴音 的子孫、 亞米 的子孫。
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.58,Ezra 2:58,57,殿役和 所羅門 僕人的後裔共三百九十二名。
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.59,Ezra 2:59,58,從 特‧米拉 、 特‧哈薩 、 基綠 、 亞頓 、 音麥 上來，不能證明他們的父系家族和後裔是否屬 以色列 的如下：
zh,RCUVT,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.60,Ezra 2:60,59,第萊雅 的子孫、 多比雅 的子孫、 尼哥大 的子孫，共六百五十二名。
