languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVT,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.1,Ps 1:1,0,不從惡人的計謀， 不站罪人的道路， 不坐傲慢人的座位， 惟喜愛耶和華的律法， 晝夜思想 他的律法； 這人便為有福！
zh,RCUVT,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.2,Ps 1:2,1,
zh,RCUVT,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.3,Ps 1:3,2,他要像一棵樹栽在溪水旁， 按時候結果子， 葉子也不枯乾。 凡他所做的盡都順利。
zh,RCUVT,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.4,Ps 1:4,3,惡人並不是這樣， 卻像糠秕被風吹散。
zh,RCUVT,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.5,Ps 1:5,4,因此，當審判的時候惡人必站立不住， 罪人在義人的會眾中也是如此。
zh,RCUVT,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.6,Ps 1:6,5,因為耶和華知道義人的道路， 惡人的道路卻必滅亡。
zh,RCUVT,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.1,Ps 2:1,0,列國為甚麼爭鬧？ 萬民為甚麼圖謀虛妄？
zh,RCUVT,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.2,Ps 2:2,1,世上的君王都站穩， 臣宰一同算計， 要對抗耶和華， 對抗他的受膏者：
zh,RCUVT,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.3,Ps 2:3,2,「我們要掙脫他們的捆綁， 脫去他們的繩索。」
zh,RCUVT,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.4,Ps 2:4,3,那坐在天上的必譏笑， 主必嗤笑他們。
zh,RCUVT,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.5,Ps 2:5,4,那時，他要在怒中責備他們， 在烈怒中驚嚇他們：
zh,RCUVT,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.6,Ps 2:6,5,「我已經在 錫安 －我的聖山 膏立了我的君王。」
zh,RCUVT,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.7,Ps 2:7,6,我要傳耶和華的聖旨， 他對我說：「你是我的兒子， 我今日生了你。
zh,RCUVT,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.8,Ps 2:8,7,你求我，我就將列國賜你為基業， 將地極賜你為田產。
zh,RCUVT,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.9,Ps 2:9,8,你必用鐵杖打破他們， 把他們如同陶匠的瓦器摔碎。」
zh,RCUVT,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.10,Ps 2:10,9,現在，君王啊，應當謹慎！ 世上的審判官哪，要聽勸戒！
zh,RCUVT,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.11,Ps 2:11,10,當存敬畏的心事奉耶和華， 又當戰兢而快樂。
zh,RCUVT,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.12,Ps 2:12,11,當親吻兒子，免得他發怒， 你們就在半途中滅亡， 因為他的怒氣快要發作。 凡投靠他的，都是有福的。
zh,RCUVT,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.1,Ps 3:1,0,耶和華啊，我的敵人何其增多！ 許多人起來攻擊我。
zh,RCUVT,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.2,Ps 3:2,1,許多人議論我： 「他得不到上帝的幫助。」（細拉）
zh,RCUVT,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.3,Ps 3:3,2,但你－耶和華是我四圍的盾牌， 是我的榮耀，又是令我抬起頭來的。
zh,RCUVT,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.4,Ps 3:4,3,我用我的聲音求告耶和華， 他就從他的聖山上應允我。（細拉）
zh,RCUVT,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.5,Ps 3:5,4,我躺下，我睡覺，我醒來， 耶和華都保佑我。
zh,RCUVT,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.6,Ps 3:6,5,雖有成萬的百姓周圍攻擊我， 我也不懼怕。
zh,RCUVT,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.7,Ps 3:7,6,耶和華啊，求你興起！ 我的上帝啊，求你救我！ 因為你打斷我所有仇敵的腮骨， 敲碎了惡人的牙齒。
zh,RCUVT,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.8,Ps 3:8,7,救恩屬於耶和華； 願你賜福給你的百姓。（細拉）
zh,RCUVT,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.1,Ps 4:1,0,顯我為義的上帝啊， 我呼求的時候，求你應允我！ 我在困境中，你曾使我寬暢； 求你憐憫我，聽我的禱告！
zh,RCUVT,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.2,Ps 4:2,1,你們這些人哪，你們把我的尊榮變為羞辱，要到幾時呢？ 你們喜愛虛妄，尋找虛假，要到幾時呢？ （細拉）
zh,RCUVT,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.3,Ps 4:3,2,你們要知道，耶和華已將虔誠人分別出來歸他自己； 我求告耶和華，他必垂聽。
zh,RCUVT,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.4,Ps 4:4,3,應當畏懼，不可犯罪； 在床上的時候，要心裏思想，並要安靜。（細拉）
zh,RCUVT,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.5,Ps 4:5,4,當獻上公義的祭， 又當倚靠耶和華。
zh,RCUVT,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.6,Ps 4:6,5,有許多人說：「誰能指示我們甚麼好處？ 耶和華啊，求你用你臉上的光照耀我們。」
zh,RCUVT,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.7,Ps 4:7,6,你使我心裏喜樂， 勝過那豐收五穀新酒的人。
zh,RCUVT,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.8,Ps 4:8,7,我必平安地躺下睡覺， 因為獨有你－耶和華使我安然居住。
zh,RCUVT,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.1,Ps 5:1,0,耶和華啊，求你側耳聽我的言語， 顧念我的心思！
zh,RCUVT,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.2,Ps 5:2,1,我的王，我的上帝啊，求你留心聽我呼求的聲音！ 因為我向你祈禱。
zh,RCUVT,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.3,Ps 5:3,2,耶和華啊，早晨你必聽我的聲音； 早晨我要向你陳明我的心思，並要警醒。
zh,RCUVT,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.4,Ps 5:4,3,因為你不是喜愛邪惡的上帝， 惡人不能與你同住。
zh,RCUVT,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.5,Ps 5:5,4,狂傲的人不能站在你眼前； 凡作惡的，都是你所恨惡的。
zh,RCUVT,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.6,Ps 5:6,5,說謊言的，你必滅絕； 好流人血、玩弄詭詐的，都為耶和華所憎惡。
zh,RCUVT,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.7,Ps 5:7,6,至於我，我必憑你豐盛的慈愛進入你的居所， 我要存敬畏你的心向你的聖殿下拜。
zh,RCUVT,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.8,Ps 5:8,7,耶和華啊，求你因我仇敵的緣故，憑你的公義引領我， 使你的道路在我面前正直。
zh,RCUVT,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.9,Ps 5:9,8,因為他們口中沒有誠實， 心裏充滿邪惡， 他們的喉嚨是敞開的墳墓； 他們用舌頭諂媚人。
zh,RCUVT,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.10,Ps 5:10,9,上帝啊，求你定他們的罪！ 願他們因自己的計謀跌倒； 求你因他們過犯眾多趕逐他們， 因為他們背叛了你。
zh,RCUVT,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.11,Ps 5:11,10,凡投靠你的，願他們喜樂，時常歡呼， 因為你庇護他們； 又願那愛你名的人都靠你歡欣。
zh,RCUVT,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.12,Ps 5:12,11,耶和華啊，因為你必賜福給義人， 你必用恩惠如同盾牌四面護衛他。
zh,RCUVT,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.1,Ps 6:1,0,耶和華啊，求你不要在怒中責備我， 不要在烈怒中懲罰我！
zh,RCUVT,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.2,Ps 6:2,1,耶和華啊，求你憐憫我，因為我軟弱。 耶和華啊，求你醫治我，因為我的骨頭戰抖。
zh,RCUVT,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.3,Ps 6:3,2,我的心也大大驚惶。 耶和華啊，你要等到幾時呢？
zh,RCUVT,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.4,Ps 6:4,3,耶和華啊，求你轉回搭救我， 因你的慈愛拯救我。
