languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVT,Song,Song,21,Song.1,Song 1,0,Song.1.1,Song 1:1,0,所羅門 的雅歌 。
zh,RCUVT,Song,Song,21,Song.1,Song 1,0,Song.1.2,Song 1:2,1,願他用口與我親吻。 你的愛情比酒更美，
zh,RCUVT,Song,Song,21,Song.1,Song 1,0,Song.1.3,Song 1:3,2,你的膏油馨香， 你的名如傾瀉而出的香膏， 所以童女都愛你。
zh,RCUVT,Song,Song,21,Song.1,Song 1,0,Song.1.4,Song 1:4,3,願你吸引我跟隨你；讓我們快跑吧！ 王領我進入他的內室。 我們必因你歡喜快樂， 我們要思念你的愛情， 勝似思念美酒。 她們愛你是理所當然的。
zh,RCUVT,Song,Song,21,Song.1,Song 1,0,Song.1.5,Song 1:5,4,耶路撒冷 的女子啊， 我雖然黑，卻是秀美， 如同 基達 的帳棚， 好像 所羅門 的幔子，
zh,RCUVT,Song,Song,21,Song.1,Song 1,0,Song.1.6,Song 1:6,5,不要因太陽把我曬黑了就瞪著我。 我母親的兒子向我發怒， 他們使我看守葡萄園； 我自己的葡萄園我卻沒有看守。
zh,RCUVT,Song,Song,21,Song.1,Song 1,0,Song.1.7,Song 1:7,6,我心所愛的啊，請告訴我， 你在何處牧羊？ 正午在何處使羊歇臥？ 我何必像蒙著臉的女子 在你同伴的羊群旁邊呢？
zh,RCUVT,Song,Song,21,Song.1,Song 1,0,Song.1.8,Song 1:8,7,你這女子中最美麗的， 你若不知道， 只管跟隨羊群的腳蹤行， 在牧人的帳棚邊，牧放你的小山羊。
zh,RCUVT,Song,Song,21,Song.1,Song 1,0,Song.1.9,Song 1:9,8,我的佳偶， 你好比法老戰車上的駿馬。
zh,RCUVT,Song,Song,21,Song.1,Song 1,0,Song.1.10,Song 1:10,9,你的兩頰因髮辮而秀美， 你的頸項因珠串而華麗。
zh,RCUVT,Song,Song,21,Song.1,Song 1,0,Song.1.11,Song 1:11,10,我們要為你編上金鏈，鑲上銀飾。
zh,RCUVT,Song,Song,21,Song.1,Song 1,0,Song.1.12,Song 1:12,11,王正坐席的時候， 我的哪噠香膏散發香味。
zh,RCUVT,Song,Song,21,Song.1,Song 1,0,Song.1.13,Song 1:13,12,我的良人好像一袋沒藥， 在我胸懷中。
zh,RCUVT,Song,Song,21,Song.1,Song 1,0,Song.1.14,Song 1:14,13,我的良人好像一束鳳仙花， 在 隱‧基底 的葡萄園中。
zh,RCUVT,Song,Song,21,Song.1,Song 1,0,Song.1.15,Song 1:15,14,看哪，我的佳偶，你真美麗！ 看哪，你真美麗！你的眼睛是鴿子。
zh,RCUVT,Song,Song,21,Song.1,Song 1,0,Song.1.16,Song 1:16,15,看哪，我的良人，你多英俊可愛！ 讓我們以青草為床榻，
zh,RCUVT,Song,Song,21,Song.1,Song 1,0,Song.1.17,Song 1:17,16,以香柏樹為房子的棟梁， 以松樹作屋頂的椽木。
zh,RCUVT,Song,Song,21,Song.2,Song 2,1,Song.2.1,Song 2:1,0,我是 沙崙 的玫瑰花， 是谷中的百合花。
zh,RCUVT,Song,Song,21,Song.2,Song 2,1,Song.2.2,Song 2:2,1,我的佳偶在女子中， 好像荊棘裏的百合花。
zh,RCUVT,Song,Song,21,Song.2,Song 2,1,Song.2.3,Song 2:3,2,我的良人在男子中， 如同蘋果樹在樹林裏。 我歡歡喜喜坐在他的蔭下， 嘗他果子的滋味，覺得甘甜。
zh,RCUVT,Song,Song,21,Song.2,Song 2,1,Song.2.4,Song 2:4,3,他領我進入宴會廳， 為我插上愛的旗幟。
zh,RCUVT,Song,Song,21,Song.2,Song 2,1,Song.2.5,Song 2:5,4,請你們用葡萄餅增補我力， 以蘋果暢快我的心， 因我為愛而生病。
zh,RCUVT,Song,Song,21,Song.2,Song 2,1,Song.2.6,Song 2:6,5,他的左手在我頭下， 他的右手將我環抱。
zh,RCUVT,Song,Song,21,Song.2,Song 2,1,Song.2.7,Song 2:7,6,耶路撒冷 的女子啊， 我指著羚羊或田野的母鹿囑咐你們， 不要喚醒，不要挑動愛情，等它自發。
zh,RCUVT,Song,Song,21,Song.2,Song 2,1,Song.2.8,Song 2:8,7,聽啊！我良人的聲音， 看哪！他穿山越嶺而來。
zh,RCUVT,Song,Song,21,Song.2,Song 2,1,Song.2.9,Song 2:9,8,我的良人像羚羊，像小鹿。 看哪，他站在我們的牆壁邊， 從窗戶往裏觀看， 從窗格子往裏窺探。
zh,RCUVT,Song,Song,21,Song.2,Song 2,1,Song.2.10,Song 2:10,9,我的良人對我說： 「我的佳偶，起來！ 我的美人，與我同去！
zh,RCUVT,Song,Song,21,Song.2,Song 2,1,Song.2.11,Song 2:11,10,看哪，因為冬天已逝， 雨水止住，已經過去了。
zh,RCUVT,Song,Song,21,Song.2,Song 2,1,Song.2.12,Song 2:12,11,地上百花開放， 歌唱的時候到了， 斑鳩的聲音在我們境內也聽見了。
zh,RCUVT,Song,Song,21,Song.2,Song 2,1,Song.2.13,Song 2:13,12,無花果樹的果子漸漸成熟， 葡萄樹開花，散發香氣。 我的佳偶，起來！ 我的美人，與我同去！
zh,RCUVT,Song,Song,21,Song.2,Song 2,1,Song.2.14,Song 2:14,13,我的鴿子啊，你在磐石穴中， 在陡巖的隱密處。 求你容我得見你的面貌， 求你容我得聽你的聲音； 因你的聲音悅耳， 你的容貌秀美。
zh,RCUVT,Song,Song,21,Song.2,Song 2,1,Song.2.15,Song 2:15,14,請為我們擒拿狐狸， 就是毀壞葡萄園的小狐狸， 我們的葡萄正在開花。」
zh,RCUVT,Song,Song,21,Song.2,Song 2,1,Song.2.16,Song 2:16,15,我的良人屬我，我也屬他， 他在百合花中放牧。
zh,RCUVT,Song,Song,21,Song.2,Song 2,1,Song.2.17,Song 2:17,16,我的良人哪， 等到天起涼風、 日影飛去的時候， 願你歸回，像羚羊， 像小鹿，在崎嶇的山 上。
zh,RCUVT,Song,Song,21,Song.3,Song 3,2,Song.3.1,Song 3:1,0,我夜間躺臥在床上， 尋找我心所愛的； 我尋找他，卻尋不著。
zh,RCUVT,Song,Song,21,Song.3,Song 3,2,Song.3.2,Song 3:2,1,「我要起來，繞行城中， 在街市上，在廣場上， 尋找我心所愛的。」 我尋找他，卻尋不著。
zh,RCUVT,Song,Song,21,Song.3,Song 3,2,Song.3.3,Song 3:3,2,城中巡邏的守衛遇見我， 「你們看見我心所愛的沒有？」
zh,RCUVT,Song,Song,21,Song.3,Song 3,2,Song.3.4,Song 3:4,3,我剛離開他們，就遇見我心所愛的。 我拉住他，不放他走， 領他進入我母親的家， 到懷我者的內室。
zh,RCUVT,Song,Song,21,Song.3,Song 3,2,Song.3.5,Song 3:5,4,耶路撒冷 的女子啊， 我指著羚羊或田野的母鹿囑咐你們， 不要喚醒，不要挑動愛情，等它自發。
zh,RCUVT,Song,Song,21,Song.3,Song 3,2,Song.3.6,Song 3:6,5,那如煙柱從曠野上來， 薰了沒藥、乳香，撲上商人各樣香粉的是誰呢？
zh,RCUVT,Song,Song,21,Song.3,Song 3,2,Song.3.7,Song 3:7,6,看哪，是 所羅門 的轎， 周圍有六十個勇士， 都是 以色列 中的勇士。
zh,RCUVT,Song,Song,21,Song.3,Song 3,2,Song.3.8,Song 3:8,7,他們的手都持刀，善於爭戰， 各人腰間佩刀，防備夜間恐怖的攻擊。
zh,RCUVT,Song,Song,21,Song.3,Song 3,2,Song.3.9,Song 3:9,8,所羅門 王用 黎巴嫩 木 為自己製作轎子。
zh,RCUVT,Song,Song,21,Song.3,Song 3,2,Song.3.10,Song 3:10,9,轎柱是用銀做的， 轎底是用金做的， 坐墊是紫色的， 其中所鋪的是 耶路撒冷 女子的愛情。
zh,RCUVT,Song,Song,21,Song.3,Song 3,2,Song.3.11,Song 3:11,10,錫安的女子啊， 你們要出去觀看 所羅門 王！ 他頭戴冠冕，就是在他結婚當天 心中喜樂的時候，他母親給他戴上的。
zh,RCUVT,Song,Song,21,Song.4,Song 4,3,Song.4.1,Song 4:1,0,看哪，我的佳偶，你真美麗！看哪，你真美麗！ 你的眼睛在面紗後好像鴿子。 你的頭髮如同一群山羊，從 基列山 下來。
zh,RCUVT,Song,Song,21,Song.4,Song 4,3,Song.4.2,Song 4:2,1,你的牙齒如新剪毛的一群母羊，洗淨之後走上來， 它們成對，沒有一顆是單獨的。
zh,RCUVT,Song,Song,21,Song.4,Song 4,3,Song.4.3,Song 4:3,2,你的唇好像一條朱紅線， 你的嘴秀美。 你的鬢角在面紗後， 如同迸開的石榴。
zh,RCUVT,Song,Song,21,Song.4,Song 4,3,Song.4.4,Song 4:4,3,你的頸項猶如 大衛 為收藏軍器而造的高塔， 其上懸掛一千個盾牌， 都是勇士的盾牌。
zh,RCUVT,Song,Song,21,Song.4,Song 4,3,Song.4.5,Song 4:5,4,你的兩乳好像百合花中吃草的一對小鹿， 是母鹿雙生的。
zh,RCUVT,Song,Song,21,Song.4,Song 4,3,Song.4.6,Song 4:6,5,我要往沒藥山和乳香岡去， 直到天起涼風、 日影飛去的時候。
zh,RCUVT,Song,Song,21,Song.4,Song 4,3,Song.4.7,Song 4:7,6,我的佳偶，你全然美麗， 毫無瑕疵！
zh,RCUVT,Song,Song,21,Song.4,Song 4,3,Song.4.8,Song 4:8,7,我的新娘，請你與我一同離開 黎巴嫩 ， 與我一同離開 黎巴嫩 。 從 亞瑪拿 山巔， 從 示尼珥 ，就是 黑門山 頂， 從獅子的洞， 從豹子的山往下觀看。
zh,RCUVT,Song,Song,21,Song.4,Song 4,3,Song.4.9,Song 4:9,8,我的妹子，我的新娘， 你奪了我的心。 你明眸一瞥， 你頸項的鏈子， 奪了我的心！
zh,RCUVT,Song,Song,21,Song.4,Song 4,3,Song.4.10,Song 4:10,9,我的妹子，我的新娘， 你的愛情 何其美！ 你的愛情比酒甜美！ 你膏油的馨香勝過一切香料！
zh,RCUVT,Song,Song,21,Song.4,Song 4,3,Song.4.11,Song 4:11,10,我的新娘，你的唇滴下蜂蜜， 你的舌下有蜜，有奶。 你衣服的香氣宛如 黎巴嫩 的芬芳。
zh,RCUVT,Song,Song,21,Song.4,Song 4,3,Song.4.12,Song 4:12,11,我的妹子，我的新娘 是上鎖的園子， 是禁閉的園子 ， 是封閉的泉源。
zh,RCUVT,Song,Song,21,Song.4,Song 4,3,Song.4.13,Song 4:13,12,你園內所種的結了石榴， 有佳美的果子， 並鳳仙花與哪噠樹。
zh,RCUVT,Song,Song,21,Song.4,Song 4,3,Song.4.14,Song 4:14,13,有哪噠和番紅花， 香菖蒲和桂樹， 並各樣乳香木、沒藥、沉香， 與一切上等的香料。
zh,RCUVT,Song,Song,21,Song.4,Song 4,3,Song.4.15,Song 4:15,14,你是園中的泉，活水的井， 是從 黎巴嫩 湧流而下的溪水。
zh,RCUVT,Song,Song,21,Song.4,Song 4,3,Song.4.16,Song 4:16,15,北風啊，興起！ 南風啊，吹來！ 吹在我的園內， 使其中的香氣散發出來。 願我的良人進入自己園裏， 吃他佳美的果子。
zh,RCUVT,Song,Song,21,Song.5,Song 5,4,Song.5.1,Song 5:1,0,我的妹子，我的新娘， 我進入我的園中， 採了我的沒藥和香料， 吃了我的蜂房和蜂蜜， 喝了我的酒和奶。 我的朋友，請吃！ 我親愛的，請喝，多多地喝！
zh,RCUVT,Song,Song,21,Song.5,Song 5,4,Song.5.2,Song 5:2,1,我身躺臥，我心卻醒。 這是我良人的聲音； 他敲門： 「我的妹子，我的佳偶， 我的鴿子，我完美的人兒， 請你為我開門； 因我的頭沾滿露水， 我的髮被夜露滴濕。」
zh,RCUVT,Song,Song,21,Song.5,Song 5,4,Song.5.3,Song 5:3,2,我脫了衣裳，怎能再穿上呢？ 我洗了腳，怎可再弄髒呢？
zh,RCUVT,Song,Song,21,Song.5,Song 5,4,Song.5.4,Song 5:4,3,我的良人從門縫裏伸進他的手， 我便因他動了心。
zh,RCUVT,Song,Song,21,Song.5,Song 5,4,Song.5.5,Song 5:5,4,我起來，要為我的良人開門。 我的兩手滴下沒藥， 我的指頭有沒藥汁滴在門閂上。
zh,RCUVT,Song,Song,21,Song.5,Song 5,4,Song.5.6,Song 5:6,5,我為我的良人開了門， 我的良人卻已轉身走了。 他說話的時候，我魂不守舍。 我尋找他，竟尋不著， 我呼叫他，他卻不回答。
zh,RCUVT,Song,Song,21,Song.5,Song 5,4,Song.5.7,Song 5:7,6,城中巡邏的守衛遇見我， 打了我，傷了我， 看守城牆的人奪去我的披肩。
zh,RCUVT,Song,Song,21,Song.5,Song 5,4,Song.5.8,Song 5:8,7,耶路撒冷 的女子啊，我囑咐你們： 若遇見我的良人， 要告訴他，我為愛而生病。
zh,RCUVT,Song,Song,21,Song.5,Song 5,4,Song.5.9,Song 5:9,8,你這女子中最美麗的， 你的良人有甚麼勝過別的良人呢？ 你的良人有甚麼勝過別的良人， 使你這樣囑咐我們？
zh,RCUVT,Song,Song,21,Song.5,Song 5,4,Song.5.10,Song 5:10,9,我的良人紅潤發亮， 超乎萬人之上。
zh,RCUVT,Song,Song,21,Song.5,Song 5,4,Song.5.11,Song 5:11,10,他的頭像千足的純金， 他的髮綹卷曲，黑如烏鴉。
zh,RCUVT,Song,Song,21,Song.5,Song 5,4,Song.5.12,Song 5:12,11,他的眼如溪水旁的鴿子， 沐浴在奶中，安得合式 。
zh,RCUVT,Song,Song,21,Song.5,Song 5,4,Song.5.13,Song 5:13,12,他的兩頰如香花園， 如香草臺 ； 他的嘴唇像百合花， 滴下沒藥汁。
zh,RCUVT,Song,Song,21,Song.5,Song 5,4,Song.5.14,Song 5:14,13,他的雙手宛如金條， 鑲嵌水蒼玉； 他的身體如同雕刻的象牙， 周圍鑲嵌藍寶石。
zh,RCUVT,Song,Song,21,Song.5,Song 5,4,Song.5.15,Song 5:15,14,他的腿好比白玉石柱， 安在精金座上； 他的容貌如 黎巴嫩 ， 佳美如香柏樹。
zh,RCUVT,Song,Song,21,Song.5,Song 5,4,Song.5.16,Song 5:16,15,他的口甘甜， 他全然可愛。 耶路撒冷 的女子啊， 這是我的良人， 這是我的朋友。
zh,RCUVT,Song,Song,21,Song.6,Song 6,5,Song.6.1,Song 6:1,0,你這女子中最美麗的， 你的良人往何處去？ 你的良人轉向何處去了？ 我們好與你同去尋找他。
zh,RCUVT,Song,Song,21,Song.6,Song 6,5,Song.6.2,Song 6:2,1,我的良人進入自己園中， 到香花園， 在園內放牧， 採百合花。
zh,RCUVT,Song,Song,21,Song.6,Song 6,5,Song.6.3,Song 6:3,2,我屬我的良人， 我的良人屬我； 他在百合花中放牧。
zh,RCUVT,Song,Song,21,Song.6,Song 6,5,Song.6.4,Song 6:4,3,我的佳偶啊，你美麗如 得撒 ， 秀美如 耶路撒冷 ， 威武如展開旌旗的軍隊。
zh,RCUVT,Song,Song,21,Song.6,Song 6,5,Song.6.5,Song 6:5,4,求你轉開眼睛不要看我， 因你的眼睛使我慌亂。 你的頭髮如同一群山羊，從 基列山 下來。
zh,RCUVT,Song,Song,21,Song.6,Song 6,5,Song.6.6,Song 6:6,5,你的牙齒如一群母羊，洗淨之後走上來， 它們成對，沒有一顆是單獨的。
