languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.1,Lam 1:1,0,唉！先前人口稠密的城市， 現在為何獨坐！ 先前在列國中為大的， 現在竟如寡婦！ 先前在各省中為王后的， 現在竟成為服苦役的人！
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.2,Lam 1:2,1,她 夜間痛哭，淚流滿頰， 在所有親愛的人中，找不到一個安慰她的。 她的朋友都以詭詐待她， 成為她的仇敵。
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.3,Lam 1:3,2,猶大 被擄， 遭遇苦難，多服勞役。 她住在列國中，得不著安息； 追逼她的在狹窄之地追上她。
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.4,Lam 1:4,3,錫安 的道路因無人前來過節就哀傷， 她的城門荒涼， 祭司嘆息， 少女悲傷； 她自己充滿痛苦。
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.5,Lam 1:5,4,她的敵人作主， 她的仇敵亨通； 耶和華因她過犯多而使她受苦， 她的孩童在敵人面前去作俘虜。
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.6,Lam 1:6,5,錫安 的威榮全都失去。 她的領袖如找不著草場的鹿， 在追趕的人面前無力行走。
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.7,Lam 1:7,6,耶路撒冷 在困苦窘迫之時， 就追想古時一切的榮華。 她的百姓落在敵人手中，無人幫助； 敵人看見，就因她的毀滅嗤笑。
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.8,Lam 1:8,7,耶路撒冷 犯了大罪， 因此成為不潔淨； 素來尊敬她的，見她裸露就都藐視她， 她自己也嘆息退後。
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.9,Lam 1:9,8,她的污穢是在下襬上； 她未曾思想自己的結局， 她的敗落令人驚詫， 無人安慰她。 「耶和華啊，求你看顧我的苦難， 因為仇敵強大。」
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.10,Lam 1:10,9,敵人伸手奪取她的一切貴重物品； 她眼見列國侵入她的聖所， 你曾吩咐他們不可進入你的集會。
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.11,Lam 1:11,10,她的百姓都嘆息，尋求食物； 他們用貴重物品換取糧食，要救性命。 「耶和華啊，求你觀看， 留意我多麼卑微。」
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.12,Lam 1:12,11,所有過路的人哪，願這事不要發生在你們身上 。 你們要留意觀看， 有像這樣臨到我的痛苦沒有？ 耶和華在他發烈怒的日子使我受苦。
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.13,Lam 1:13,12,他從高處降火進入我的骨頭， 剋制了我； 他張開網，絆我的腳， 使我退後， 又令我終日淒涼發昏。
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.14,Lam 1:14,13,他用手綁我罪過的軛， 捲繞著加在我頸項上； 他使我力量衰敗。 主將我交在我不能抵擋的人手中。
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.15,Lam 1:15,14,主棄絕我們當中所有的勇士， 聚集會眾攻擊我， 要壓碎我的年輕人。 主踹下少女 猶大 ， 在醡酒池中。
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.16,Lam 1:16,15,我因這些事哭泣， 眼淚汪汪； 因為那安慰我、使我重新得力的， 離我甚遠。 我的兒女孤苦， 因為仇敵得勝了。
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.17,Lam 1:17,16,錫安 伸出雙手，卻無人安慰。 論到 雅各 ，耶和華已經出令， 使四圍的人作他的仇敵； 耶路撒冷 在他們中間成為不潔淨。
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.18,Lam 1:18,17,耶和華是公義的！ 我違背了他的命令。 萬民哪，請聽， 來看我的痛苦； 我的少女和壯丁都被擄去。
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.19,Lam 1:19,18,我招呼我所親愛的， 他們卻欺騙了我。 我的祭司和長老尋找食物，要救性命的時候， 就在城中斷了氣。
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.20,Lam 1:20,19,耶和華啊，求你觀看， 因為我在急難中； 我的心腸煩亂， 我心在我裏面翻轉， 因我大大背逆。 在外，刀劍使人喪亡； 在家，猶如死亡。
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.21,Lam 1:21,20,有人聽見我嘆息 ， 卻無人安慰我！ 我所有的仇敵聽見我的患難就喜樂， 因這是你所做的。 你使你所宣告的日子來臨， 願他們像我一樣。
zh,RCUVT,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.22,Lam 1:22,21,願他們的惡行都呈現在你面前； 你怎樣因我一切的罪過待我， 求你也照樣待他們； 因我嘆息甚多，心中發昏。
zh,RCUVT,Lam,Lam,24,Lam.2,Lam 2,1,Lam.2.1,Lam 2:1,0,唉！主竟發怒，使黑雲遮蔽 錫安 ！ 他將 以色列 的華美從天扔在地上， 在他發怒的日子並不顧念自己的腳凳。
zh,RCUVT,Lam,Lam,24,Lam.2,Lam 2,1,Lam.2.2,Lam 2:2,1,主吞滅 雅各 一切的住處，並不顧惜。 他發怒傾覆 猶大 的堡壘， 將它們夷為平地， 凌辱這國與她的領袖。
zh,RCUVT,Lam,Lam,24,Lam.2,Lam 2,1,Lam.2.3,Lam 2:3,2,他發烈怒，砍斷 以色列 一切的角， 在仇敵面前收回右手。 他將 雅各 燒燬，如火焰四圍吞滅。
zh,RCUVT,Lam,Lam,24,Lam.2,Lam 2,1,Lam.2.4,Lam 2:4,3,他張弓好像仇敵， 他站立舉起右手， 如同敵人殺戮我們眼目所喜愛的。 他在 錫安 的帳棚 傾倒憤怒，如火一般。
zh,RCUVT,Lam,Lam,24,Lam.2,Lam 2,1,Lam.2.5,Lam 2:5,4,主如仇敵吞滅 以色列 ， 吞滅它一切的宮殿， 毀壞境內的堡壘； 在 猶大 加添悲傷和哭號。
zh,RCUVT,Lam,Lam,24,Lam.2,Lam 2,1,Lam.2.6,Lam 2:6,5,他摧毀自己的帳幕如摧毀園子， 毀壞自己的會幕。 耶和華使節慶和安息日在 錫安 盡被遺忘， 又在極其憤怒中厭棄君王與祭司。
zh,RCUVT,Lam,Lam,24,Lam.2,Lam 2,1,Lam.2.7,Lam 2:7,6,耶和華撇棄自己的祭壇， 憎惡自己的聖所， 把宮殿的牆交給仇敵。 他們在耶和華的殿中喧嚷， 如在節慶之日一樣。
zh,RCUVT,Lam,Lam,24,Lam.2,Lam 2,1,Lam.2.8,Lam 2:8,7,耶和華定意拆毀 錫安 的城牆； 他拉了準繩， 不將手收回，定要毀滅。 他使城郭和城牆都悲哀， 一同衰敗。
zh,RCUVT,Lam,Lam,24,Lam.2,Lam 2,1,Lam.2.9,Lam 2:9,8,錫安 的門陷入地裏， 主毀壞，折斷她的門閂。 她的君王和官長都置身列國中，沒有律法； 她的先知也不再從耶和華領受異象。
