languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVT,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.1,Jonah 1:1,0,耶和華的話臨到 亞米太 的兒子 約拿 ，說：
zh,RCUVT,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.2,Jonah 1:2,1,「起來，到 尼尼微 大城去，向其中的居民宣告，因為他們的惡已達到我面前。」
zh,RCUVT,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.3,Jonah 1:3,2,約拿 卻起身，逃往 他施 去躲避耶和華。他下到 約帕 ，遇見一條船要往 他施 去。 約拿 付了船費，就上船，與船上的人同往 他施 ，為要躲避耶和華。
zh,RCUVT,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.4,Jonah 1:4,3,耶和華在海上颳起大風，海就狂風大作，船幾乎破裂。
zh,RCUVT,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.5,Jonah 1:5,4,水手都懼怕，各人哀求自己的神明。他們把船上的貨物拋進海裏，為要減輕載重。 約拿 卻下到艙底，躺臥沉睡。
zh,RCUVT,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.6,Jonah 1:6,5,船長到他那裏，對他說：「你怎麼還在沉睡呢？起來，求告你的神明，或者神明顧念我們，使我們不致滅亡。」
zh,RCUVT,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.7,Jonah 1:7,6,船上的人彼此說：「來吧，我們來抽籤，看看這災難臨到我們是因誰的緣故。」於是他們就抽籤，抽出 約拿 來。
zh,RCUVT,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.8,Jonah 1:8,7,他們對 約拿 說：「請你告訴我們，這災難臨到我們是因誰的緣故呢？你做甚麼行業？你從哪裏來？你是哪一國的人？屬哪一族？」
zh,RCUVT,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.9,Jonah 1:9,8,他說：「我是 希伯來 人，我敬畏耶和華，天上的上帝，他創造了滄海和陸地。」
zh,RCUVT,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.10,Jonah 1:10,9,那些人就大大懼怕，對他說：「你做的是甚麼事呢？」原來他們已經知道他在躲避耶和華，因為他告訴了他們。
zh,RCUVT,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.11,Jonah 1:11,10,海浪越來越洶湧，他們就問他說：「我們當向你做甚麼，才能使海浪平靜呢？」
zh,RCUVT,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.12,Jonah 1:12,11,他對他們說：「你們把我抬起來，拋進海裏，海就會平靜了；我知道你們遭遇這大風浪是因我的緣故。」
zh,RCUVT,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.13,Jonah 1:13,12,然而那些人竭力划槳，想要把船靠回陸地，卻是不能；因風浪愈來愈大，撲向他們。
zh,RCUVT,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.14,Jonah 1:14,13,於是他們求告耶和華說：「耶和華啊，求求你不要因這人的性命使我們滅亡，不要使流無辜人血的罪歸給我們；因為你－耶和華隨自己的旨意行事。」
zh,RCUVT,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.15,Jonah 1:15,14,他們把 約拿 抬起來，拋進海裏，海的狂浪就平息了。
zh,RCUVT,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.16,Jonah 1:16,15,那些人就大大懼怕耶和華，向耶和華獻祭許願。
zh,RCUVT,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.17,Jonah 1:17,16,耶和華安排一條大魚吞下 約拿 ， 約拿 在魚腹中三日三夜。
zh,RCUVT,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.1,Jonah 2:1,0,約拿 在魚腹中向耶和華－他的上帝禱告，
zh,RCUVT,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.2,Jonah 2:2,1,說： 「我在患難中求告耶和華， 他就應允我； 我從陰間的深處呼求， 你就俯聽我的聲音。
