languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVT,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.1,Hag 1:1,0,大流士 王第二年六月初一，耶和華的話藉 哈該 先知向 撒拉鐵 的兒子 猶大 省長 所羅巴伯 和 約撒答 的兒子 約書亞 大祭司傳講，說：
zh,RCUVT,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.2,Hag 1:2,1,「萬軍之耶和華如此說，這百姓說，建造耶和華殿的時候還沒有到 。」
zh,RCUVT,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.3,Hag 1:3,2,耶和華的話藉 哈該 先知傳講，說：
zh,RCUVT,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.4,Hag 1:4,3,「這殿荒涼，你們自己還住天花板的房屋嗎？
zh,RCUVT,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.5,Hag 1:5,4,現在，萬軍之耶和華如此說，你們要省察自己的行為。
zh,RCUVT,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.6,Hag 1:6,5,你們撒的種多，收的卻少；你們吃，卻不得飽；喝，卻不得足；穿衣服，卻不得暖；領工錢的，領了工錢卻裝入有破洞的袋中。
zh,RCUVT,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.7,Hag 1:7,6,「萬軍之耶和華如此說，你們要省察自己的行為。
zh,RCUVT,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.8,Hag 1:8,7,你們要上山取木料，建造這殿，我就因此喜樂，且得榮耀。這是耶和華說的。
zh,RCUVT,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.9,Hag 1:9,8,你們盼望多得，看哪，所得的卻少；你們收到家中，我就吹去。這是為甚麼呢？因為我的殿荒涼，你們各人卻只為自己的房屋奔走。這是萬軍之耶和華說的。
zh,RCUVT,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.10,Hag 1:10,9,所以，因你們的緣故 ，天不降甘露，地也不出土產。
zh,RCUVT,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.11,Hag 1:11,10,我命令乾旱臨到土地、山岡、五穀、新酒、新油和地上的出產，也臨到人和牲畜，以及一切人手勞碌得來的。」
zh,RCUVT,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.12,Hag 1:12,11,那時， 撒拉鐵 的兒子 所羅巴伯 、 約撒答 的兒子 約書亞 大祭司，和所有倖存的百姓都聽從耶和華－他們上帝的話，就是 哈該 先知奉耶和華－他們上帝差遣所說的話；百姓在耶和華面前存敬畏的心。
