languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVT,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.1,Zech 1:1,0,大流士 王第二年八月，耶和華的話臨到 易多 的孫子， 比利家 的兒子 撒迦利亞 先知，說：
zh,RCUVT,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.2,Zech 1:2,1,「耶和華曾向你們祖先大發烈怒。
zh,RCUVT,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.3,Zech 1:3,2,你要對 以色列 人說，萬軍之耶和華如此說：你們要轉向我，這是萬軍之耶和華說的，我就轉向你們，這是萬軍之耶和華說的。
zh,RCUVT,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.4,Zech 1:4,3,不要效法你們的祖先。從前的先知呼叫他們說：『萬軍之耶和華如此說，當回轉離開你們的惡道惡行。』他們卻不聽，也不順從我。這是耶和華說的。
zh,RCUVT,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.5,Zech 1:5,4,你們的祖先在哪裏呢？那些先知能永遠存活嗎？
zh,RCUVT,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.6,Zech 1:6,5,然而我的言語和律例，就是我所吩咐我僕人眾先知的，豈不臨到你們的祖先嗎？他們就回轉，說：萬軍之耶和華定意按我們的所作所為對待我們，他也已經照樣行了。」
zh,RCUVT,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.7,Zech 1:7,6,大流士 第二年十一月，就是細罷特月二十四日，耶和華的話臨到 易多 的孫子， 比利家 的兒子 撒迦利亞 先知，說：
zh,RCUVT,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.8,Zech 1:8,7,「我夜間觀看，看哪，有一人騎著紅馬，站在窪地的番石榴樹中間。在他身後有紅色、褐色和白色的馬。」
zh,RCUVT,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.9,Zech 1:9,8,我說：「主啊，這是甚麼意思？」與我說話的天使說：「我要指示你這是甚麼意思。」
zh,RCUVT,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.10,Zech 1:10,9,那站在番石榴樹中間的人回答說：「這是奉耶和華差遣，在遍地巡邏的。」
zh,RCUVT,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.11,Zech 1:11,10,他們對站在番石榴樹中間耶和華的使者說：「我們在遍地巡邏，看哪，全地都安息平靜。」
zh,RCUVT,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.12,Zech 1:12,11,於是，耶和華的使者說：「萬軍之耶和華啊，你惱恨 耶路撒冷 和 猶大 的城鎮已經七十年了，你不施憐憫要到幾時呢？」
zh,RCUVT,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.13,Zech 1:13,12,耶和華就用美善的話和安慰的話回答那與我說話的天使。
zh,RCUVT,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.14,Zech 1:14,13,與我說話的天使對我說：「你要宣告，萬軍之耶和華如此說：我為 耶路撒冷 而妒忌，為 錫安 大大妒忌。
zh,RCUVT,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.15,Zech 1:15,14,我非常惱怒那享安逸的列國，因我從前稍微惱怒，他們就越發加害。
zh,RCUVT,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.16,Zech 1:16,15,所以耶和華如此說：現在我回到 耶路撒冷 ，仍要施憐憫，我的殿要重建在其中，準繩必拉在 耶路撒冷 之上。這是萬軍之耶和華說的。
zh,RCUVT,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.17,Zech 1:17,16,你要再宣告，萬軍之耶和華如此說：我的城鎮要再度繁榮發達。耶和華必再安慰 錫安 ，揀選 耶路撒冷 。」
zh,RCUVT,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.18,Zech 1:18,17,我舉目觀看，看哪，有四隻角。
zh,RCUVT,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.19,Zech 1:19,18,我問那與我說話的天使：「這是甚麼意思？」他對我說：「這是擊散 猶大 、 以色列 和 耶路撒冷 的角。」
