languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.1,Matt 1:1,0,亞伯拉罕 的後裔、 大衛 的子孫 耶穌基督的家譜：
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.2,Matt 1:2,1,亞伯拉罕 生 以撒 ， 以撒 生 雅各 ， 雅各 生 猶大 和他的兄弟，
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.3,Matt 1:3,2,猶大 從 她瑪 氏生 法勒斯 和 謝拉 ， 法勒斯 生 希斯崙 ， 希斯崙 生 亞蘭 ，
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.4,Matt 1:4,3,亞蘭 生 亞米拿達 ， 亞米拿達 生 拿順 ， 拿順 生 撒門 ，
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.5,Matt 1:5,4,撒門 從 喇合 氏生 波阿斯 ， 波阿斯 從 路得 氏生 俄備得 ， 俄備得 生 耶西 ，
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.6,Matt 1:6,5,耶西 生 大衛 王。 大衛 從 烏利亞 的妻子生 所羅門 ，
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.7,Matt 1:7,6,所羅門 生 羅波安 ， 羅波安 生 亞比雅 ， 亞比雅 生 亞撒 ，
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.8,Matt 1:8,7,亞撒 生 約沙法 ， 約沙法 生 約蘭 ， 約蘭 生 烏西雅 ，
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.9,Matt 1:9,8,烏西雅 生 約坦 ， 約坦 生 亞哈斯 ， 亞哈斯 生 希西家 ，
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.10,Matt 1:10,9,希西家 生 瑪拿西 ， 瑪拿西 生 亞們 ， 亞們 生 約西亞 ，
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.11,Matt 1:11,10,百姓被遷到 巴比倫 的時候， 約西亞 生 耶哥尼雅 和他的兄弟。
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.12,Matt 1:12,11,遷到 巴比倫 之後， 耶哥尼雅 生 撒拉鐵 ， 撒拉鐵 生 所羅巴伯 ，
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.13,Matt 1:13,12,所羅巴伯 生 亞比玉 ， 亞比玉 生 以利亞敬 ， 以利亞敬 生 亞所 ，
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.14,Matt 1:14,13,亞所 生 撒督 ， 撒督 生 亞金 ， 亞金 生 以律 ，
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.15,Matt 1:15,14,以律 生 以利亞撒 ， 以利亞撒 生 馬但 ， 馬但 生 雅各 ，
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.16,Matt 1:16,15,雅各 生 約瑟 ，就是 馬利亞 的丈夫；那稱為基督的耶穌是從 馬利亞 生的。
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.17,Matt 1:17,16,這樣，從 亞伯拉罕 到 大衛 共有十四代，從 大衛 到遷至 巴比倫 的時候也有十四代，從遷至 巴比倫 的時候到基督又有十四代。
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.18,Matt 1:18,17,耶穌基督降生的事記在下面：他母親 馬利亞 已經許配給 約瑟 ，還沒有迎娶， 馬利亞 就從聖靈懷了孕。
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.19,Matt 1:19,18,她丈夫 約瑟 是個義人，不願意當眾羞辱她，想要暗地裏把她休了。
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.20,Matt 1:20,19,正考慮這些事的時候，忽然主的使者在 約瑟 夢中向他顯現，說：「 大衛 的子孫 約瑟 ，不要怕，把你的妻子 馬利亞 娶過來，因她所懷的孕是從聖靈來的。
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.21,Matt 1:21,20,她將要生一個兒子，你要給他起名叫耶穌，因他要將自己的百姓從罪惡裏救出來。」
zh,RCUVT,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.22,Matt 1:22,21,這整件事的發生，是要應驗主藉先知所說的話：
