languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVT,John,John,42,John.1,John 1,0,John.1.1,John 1:1,0,太初有道，道與上帝同在，道就是上帝。
zh,RCUVT,John,John,42,John.1,John 1,0,John.1.2,John 1:2,1,這道太初與上帝同在。
zh,RCUVT,John,John,42,John.1,John 1,0,John.1.3,John 1:3,2,萬物都是藉著他造的，沒有一樣不是藉著他造的。凡被造的，
zh,RCUVT,John,John,42,John.1,John 1,0,John.1.4,John 1:4,3,在他裏面有生命 ，這生命就是人的光。
zh,RCUVT,John,John,42,John.1,John 1,0,John.1.5,John 1:5,4,光照在黑暗裏，黑暗卻沒有勝過光 。
zh,RCUVT,John,John,42,John.1,John 1,0,John.1.6,John 1:6,5,有一個人，是從上帝那裏差來的，名叫 約翰 。
zh,RCUVT,John,John,42,John.1,John 1,0,John.1.7,John 1:7,6,這人來是為了作見證，是為那光作見證，要使眾人藉著他而信。
zh,RCUVT,John,John,42,John.1,John 1,0,John.1.8,John 1:8,7,他不是那光，而是要為那光作見證。
zh,RCUVT,John,John,42,John.1,John 1,0,John.1.9,John 1:9,8,那光是真光，來到世上，照亮所有的人 。
zh,RCUVT,John,John,42,John.1,John 1,0,John.1.10,John 1:10,9,他在世界，世界是藉著他造的，世界卻不認識他。
zh,RCUVT,John,John,42,John.1,John 1,0,John.1.11,John 1:11,10,他來到自己的地方，自己的人並不接納他。
zh,RCUVT,John,John,42,John.1,John 1,0,John.1.12,John 1:12,11,凡接納他的，就是信他名的人，他就賜他們權柄作上帝的兒女。
zh,RCUVT,John,John,42,John.1,John 1,0,John.1.13,John 1:13,12,這些人不是從血生的，不是從情慾生的，也不是從人的意願生的，而是從上帝生的。
zh,RCUVT,John,John,42,John.1,John 1,0,John.1.14,John 1:14,13,道成了肉身，住在我們中間，充充滿滿地有恩典有真理，我們也見過他的榮光，正是父獨一兒子 的榮光。
zh,RCUVT,John,John,42,John.1,John 1,0,John.1.15,John 1:15,14,約翰 為他作見證，喊著說：「這就是我曾說：『那在我以後來的先於我，因為在我以前，他已經存在。』」
zh,RCUVT,John,John,42,John.1,John 1,0,John.1.16,John 1:16,15,從他的豐富裏，我們都領受了恩典，而且恩上加恩。
zh,RCUVT,John,John,42,John.1,John 1,0,John.1.17,John 1:17,16,律法是藉著 摩西 頒佈的；恩典和真理卻是由耶穌基督來的。
zh,RCUVT,John,John,42,John.1,John 1,0,John.1.18,John 1:18,17,從來沒有人見過上帝，只有在父懷裏獨一的兒子將他表明出來。
zh,RCUVT,John,John,42,John.1,John 1,0,John.1.19,John 1:19,18,這是 約翰 的見證： 猶太 人從 耶路撒冷 差祭司和 利未 人到 約翰 那裏去問他：「你是誰？」
zh,RCUVT,John,John,42,John.1,John 1,0,John.1.20,John 1:20,19,他就承認，並不隱瞞，承認說：「我不是基督。」
