languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVT,2Thess,2Thess,52,2Thess.1,2Thess 1,0,2Thess.1.1,2Thess 1:1,0,保羅 、 西拉 和 提摩太 寫信給 帖撒羅尼迦 、在我們的父上帝與主耶穌基督裏的教會。
zh,RCUVT,2Thess,2Thess,52,2Thess.1,2Thess 1,0,2Thess.1.2,2Thess 1:2,1,願恩惠、平安 從我們的 父上帝和主耶穌基督歸給你們！
zh,RCUVT,2Thess,2Thess,52,2Thess.1,2Thess 1,0,2Thess.1.3,2Thess 1:3,2,弟兄們，我們該常常為你們感謝上帝，這本是合宜的；因為你們的信心格外增長，你們眾人彼此相愛的心也都增加。
zh,RCUVT,2Thess,2Thess,52,2Thess.1,2Thess 1,0,2Thess.1.4,2Thess 1:4,3,所以，我們在上帝的各教會裏為你們誇耀，因為你們在所受的一切壓迫患難中仍牢守著耐心和信心。
zh,RCUVT,2Thess,2Thess,52,2Thess.1,2Thess 1,0,2Thess.1.5,2Thess 1:5,4,這正是上帝公義判斷的明證，使你們配得上他的國，你們就是為這國受苦。
zh,RCUVT,2Thess,2Thess,52,2Thess.1,2Thess 1,0,2Thess.1.6,2Thess 1:6,5,既然上帝是公義的，他必以患難報復那加患難給你們的人，
zh,RCUVT,2Thess,2Thess,52,2Thess.1,2Thess 1,0,2Thess.1.7,2Thess 1:7,6,也必使你們這受患難的人與我們同得平安。那時，主耶穌同他有權能的天使從天上在火焰中顯現，要報應那些不認識上帝和不聽從我們的主耶穌福音的人。
zh,RCUVT,2Thess,2Thess,52,2Thess.1,2Thess 1,0,2Thess.1.8,2Thess 1:8,7,
zh,RCUVT,2Thess,2Thess,52,2Thess.1,2Thess 1,0,2Thess.1.9,2Thess 1:9,8,他們要受懲罰，永遠沉淪，與主的面和他權能的榮光隔絕。
zh,RCUVT,2Thess,2Thess,52,2Thess.1,2Thess 1,0,2Thess.1.10,2Thess 1:10,9,這正是主再來，要在他聖徒的身上得榮耀，就是要使一切信的人感到驚訝的那日子，因為你們信了我們對你們作的見證。
zh,RCUVT,2Thess,2Thess,52,2Thess.1,2Thess 1,0,2Thess.1.11,2Thess 1:11,10,為此，我們常為你們禱告，願我們的上帝看你們與他的呼召相配，又用大能成就你們一切良善的美意和因信心所做的工作，
zh,RCUVT,2Thess,2Thess,52,2Thess.1,2Thess 1,0,2Thess.1.12,2Thess 1:12,11,使我們主耶穌的名，照著我們的上帝和主耶穌基督的恩，在你們身上得榮耀，你們也在他身上得榮耀。
zh,RCUVT,2Thess,2Thess,52,2Thess.2,2Thess 2,1,2Thess.2.1,2Thess 2:1,0,弟兄們，關於我們主耶穌基督的來臨和我們到他那裏聚集，我勸你們：
zh,RCUVT,2Thess,2Thess,52,2Thess.2,2Thess 2,1,2Thess.2.2,2Thess 2:2,1,無論藉著靈，藉著言語，藉著冒我的名寫的書信，說主的日子已經到了，不要輕易動心，也不要驚慌。
zh,RCUVT,2Thess,2Thess,52,2Thess.2,2Thess 2,1,2Thess.2.3,2Thess 2:3,2,不要讓任何人用甚麼法子欺騙你們，因為那日子以前必有叛教的事，並有那不法的人，那沉淪之子出現。
