languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVT,2John,2John,62,2John.1,2John 1,0,2John.1.1,2John 1:1,0,我作長老的寫信給蒙揀選的夫人 和她的兒女，就是我真心所愛的；不但我愛，也是一切認識真理的人所愛的，
zh,RCUVT,2John,2John,62,2John.1,2John 1,0,2John.1.2,2John 1:2,1,這是因為真理住在我們裏面，也必與我們同在直到永遠。
zh,RCUVT,2John,2John,62,2John.1,2John 1,0,2John.1.3,2John 1:3,2,願恩惠、憐憫、平安 從父上帝和他兒子耶穌基督，在真理和愛中必與我們同在。
zh,RCUVT,2John,2John,62,2John.1,2John 1,0,2John.1.4,2John 1:4,3,我非常歡喜見你的兒女，有照我們從父所受之命令遵行真理的。
zh,RCUVT,2John,2John,62,2John.1,2John 1,0,2John.1.5,2John 1:5,4,夫人哪，我現在請求你，我們大家要彼此相愛。我寫給你的，並不是一條新命令，而是我們從起初就有的。
zh,RCUVT,2John,2John,62,2John.1,2John 1,0,2John.1.6,2John 1:6,5,這就是愛，就是照他的命令行事；這就是命令，你們要照這命令行，正如你們從起初所聽見的。
zh,RCUVT,2John,2John,62,2John.1,2John 1,0,2John.1.7,2John 1:7,6,有許多迷惑人的已經來到世上，他們不宣認耶穌基督是成了肉身來的；這樣的人是迷惑人的，是敵基督的。
zh,RCUVT,2John,2John,62,2John.1,2John 1,0,2John.1.8,2John 1:8,7,你們要小心，不要失去你們 所完成的工作，而要得到充足的賞賜。
zh,RCUVT,2John,2John,62,2John.1,2John 1,0,2John.1.9,2John 1:9,8,凡越過基督的教導而不持守的，就沒有上帝；凡持守這教導的，就有父又有子。
zh,RCUVT,2John,2John,62,2John.1,2John 1,0,2John.1.10,2John 1:10,9,若有人到你們那裏而不傳這教導，不要接他到家裏，也不要向他問安；
zh,RCUVT,2John,2John,62,2John.1,2John 1,0,2John.1.11,2John 1:11,10,因為向他問安的，就在他的惡行上有份。
zh,RCUVT,2John,2John,62,2John.1,2John 1,0,2John.1.12,2John 1:12,11,我還有許多事要寫給你們，卻不願意用紙用墨，但盼望到你們那裏，與你們面對面談論，使我們的喜樂得以滿足。
zh,RCUVT,2John,2John,62,2John.1,2John 1,0,2John.1.13,2John 1:13,12,你那蒙揀選的姊妹的兒女向你問安。
