languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.1,Lev 1:1,0,"И воззвал Господь к Моисею и сказал ему из скинии собрания, говоря:"
ru,RUS_SYNODAL,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.2,Lev 1:2,1,"объяви сынам Израилевым и скажи им: когда кто из вас хочет принести жертву Господу, то, если из скота, приносите жертву вашу из скота крупного и мелкого."
ru,RUS_SYNODAL,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.3,Lev 1:3,2,"Если жертва его есть всесожжение из крупного скота, пусть принесет ее мужеского пола, без порока; пусть приведет ее к дверям скинии собрания, чтобы приобрести ему благоволение пред Господом;"
ru,RUS_SYNODAL,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.4,Lev 1:4,3,"и возложит руку свою на голову [жертвы] всесожжения – и приобретет он благоволение, во очищение грехов его;"
ru,RUS_SYNODAL,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.5,Lev 1:5,4,"и заколет тельца пред Господом; сыны же Аароновы, священники, принесут кровь и покропят кровью со всех сторон на жертвенник, который у входа скинии собрания;"
ru,RUS_SYNODAL,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.6,Lev 1:6,5,и снимет кожу с [жертвы] всесожжения и рассечет ее на части;
ru,RUS_SYNODAL,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.7,Lev 1:7,6,"сыны же Аароновы, священники, положат на жертвенник огонь и на огне разложат дрова;"
ru,RUS_SYNODAL,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.8,Lev 1:8,7,"и разложат сыны Аароновы, священники, части, голову и тук на дровах, которые на огне, на жертвеннике;"
ru,RUS_SYNODAL,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.9,Lev 1:9,8,"а внутренности [жертвы] и ноги ее вымоет он водою, и сожжет священник все на жертвеннике: [это] всесожжение, жертва, благоухание, приятное Господу."
ru,RUS_SYNODAL,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.10,Lev 1:10,9,"Если жертва всесожжения его из мелкого скота, из овец, или из коз, пусть принесет ее мужеского пола, без порока."
ru,RUS_SYNODAL,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.11,Lev 1:11,10,"и заколет ее пред Господом на северной стороне жертвенника, и сыны Аароновы, священники, покропят кровью ее на жертвенник со всех сторон;"
ru,RUS_SYNODAL,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.12,Lev 1:12,11,"и рассекут ее на части, [отделив] голову ее и тук ее, и разложит их священник на дровах, которые на огне, на жертвеннике,"
ru,RUS_SYNODAL,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.13,Lev 1:13,12,"а внутренности и ноги вымоет водою, и принесет священник все и сожжет на жертвеннике: [это] всесожжение, жертва, благоухание, приятное Господу."
ru,RUS_SYNODAL,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.14,Lev 1:14,13,"Если же из птиц приносит он Господу всесожжение, пусть принесет жертву свою из горлиц, или из молодых голубей;"
