languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.1,2Kgs 1:1,0,И отложился Моав от Израиля по смерти Ахава.
ru,RUS_SYNODAL,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.2,2Kgs 1:2,1,"Охозия же упал чрез решетку с горницы своей, что в Самарии, и занемог. И послал послов, и сказал им: пойдите, спросите у Веельзевула, божества Аккаронского: выздоровею ли я от сей болезни?"
ru,RUS_SYNODAL,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.3,2Kgs 1:3,2,"Тогда Ангел Господень сказал Илии Фесвитянину: встань, пойди навстречу посланным от царя Самарийского и скажи им: разве нет Бога в Израиле, что вы идете вопрошать Веельзевула, божество Аккаронское?"
ru,RUS_SYNODAL,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.4,2Kgs 1:4,3,"За это так говорит Господь: с постели, на которую ты лег, не сойдешь с нее, но умрешь. И пошел Илия."
ru,RUS_SYNODAL,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.5,2Kgs 1:5,4,И возвратились к [Охозии] посланные. И он сказал им: что это вы возвратились?
ru,RUS_SYNODAL,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.6,2Kgs 1:6,5,"И сказали ему: навстречу нам вышел человек и сказал нам: пойдите, возвратитесь к царю, который послал вас, и скажите ему: так говорит Господь: разве нет Бога в Израиле, что ты посылаешь вопрошать Веельзевула, божество Аккаронское? За то с постели, на которую ты лег, не сойдешь с нее, но умрешь."
ru,RUS_SYNODAL,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.7,2Kgs 1:7,6,"И сказал им: каков видом тот человек, который вышел навстречу вам и говорил вам слова сии?"
ru,RUS_SYNODAL,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.8,2Kgs 1:8,7,Они сказали ему: человек тот весь в волосах и кожаным поясом подпоясан по чреслам своим. И сказал он: это Илия Фесвитянин.
ru,RUS_SYNODAL,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.9,2Kgs 1:9,8,"И послал к нему пятидесятника с его пятидесятком. И он взошел к нему, когда Илия сидел на верху горы, и сказал ему: человек Божий! царь говорит: сойди."
ru,RUS_SYNODAL,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.10,2Kgs 1:10,9,"И отвечал Илия, и сказал пятидесятнику: если я человек Божий, то пусть сойдет огонь с неба и попалит тебя и твой пятидесяток. И сошел огонь с неба и попалил его и пятидесяток его."
ru,RUS_SYNODAL,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.11,2Kgs 1:11,10,И послал к нему царь другого пятидесятника с его пятидесятком. И он стал говорить ему: человек Божий! так сказал царь: сойди скорее.
ru,RUS_SYNODAL,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.12,2Kgs 1:12,11,"И отвечал Илия и сказал ему: если я человек Божий, то пусть сойдет огонь с неба и попалит тебя и твой пятидесяток. И сошел огонь Божий с неба, и попалил его и пятидесяток его."
ru,RUS_SYNODAL,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.13,2Kgs 1:13,12,"И еще послал в третий раз пятидесятника с его пятидесятком. И поднялся, и пришел пятидесятник третий, и пал на колена свои пред Илиею, и умолял его, и говорил ему: человек Божий! да не будет презрена душа моя и душа рабов твоих – сих пятидесяти – пред очами твоими;"
ru,RUS_SYNODAL,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.14,2Kgs 1:14,13,"вот, сошел огонь с неба, и попалил двух пятидесятников прежних с их пятидесятками; но теперь да не будет презрена душа моя пред очами твоими!"
ru,RUS_SYNODAL,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.15,2Kgs 1:15,14,"И сказал Ангел Господень Илии: пойди с ним, не бойся его. И он встал, и пошел с ним к царю."
ru,RUS_SYNODAL,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.16,2Kgs 1:16,15,"И сказал ему: так говорит Господь: за то, что ты посылал послов вопрошать Веельзевула, божество Аккаронское, как будто в Израиле нет Бога, чтобы вопрошать о слове Его, – с постели, на которую ты лег, не сойдешь с нее, но умрешь."
