languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.1,Neh 1:1,0,"Слова Неемии, сына Ахалиина. В месяце Кислеве, в двадцатом году, я находился в Сузах, престольном городе."
ru,RUS_SYNODAL,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.2,Neh 1:2,1,"И пришел Ханани, один из братьев моих, он и [несколько] человек из Иудеи. И спросил я их об уцелевших Иудеях, которые остались от плена, и об Иерусалиме."
ru,RUS_SYNODAL,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.3,Neh 1:3,2,"И сказали они мне: оставшиеся, которые остались от плена, [находятся] там, в стране [своей], в великом бедствии и в уничижении; и стена Иерусалима разрушена, и ворота его сожжены огнем."
ru,RUS_SYNODAL,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.4,Neh 1:4,3,"Услышав эти слова, я сел и заплакал, и печален был несколько дней, и постился и молился пред Богом небесным"
ru,RUS_SYNODAL,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.5,Neh 1:5,4,"и говорил: Господи Боже небес, Боже великий и страшный, хранящий завет и милость к любящим Тебя и соблюдающим заповеди Твои!"
ru,RUS_SYNODAL,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.6,Neh 1:6,5,"Да будут уши Твои внимательны и очи Твои отверсты, чтобы услышать молитву раба Твоего, которою я теперь день и ночь молюсь пред Тобою о сынах Израилевых, рабах Твоих, и исповедуюсь во грехах сынов Израилевых, которыми согрешили мы пред Тобою, согрешили – и я и дом отца моего."
ru,RUS_SYNODAL,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.7,Neh 1:7,6,"Мы стали преступны пред Тобою и не сохранили заповедей и уставов и определений, которые Ты заповедал Моисею, рабу Твоему."
ru,RUS_SYNODAL,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.8,Neh 1:8,7,"Но помяни слово, которое Ты заповедал Моисею, рабу Твоему, говоря: [если] вы сделаетесь преступниками, то Я рассею вас по народам;"
ru,RUS_SYNODAL,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.9,Neh 1:9,8,"[когда] же обратитесь ко Мне и будете хранить заповеди Мои и исполнять их, то хотя бы вы изгнаны были на край неба, и оттуда соберу вас и приведу вас на место, которое избрал Я, чтобы водворить там имя Мое."
ru,RUS_SYNODAL,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.10,Neh 1:10,9,"Они же рабы Твои и народ Твой, который Ты искупил силою Твоею великою и рукою Твоею могущественною."
ru,RUS_SYNODAL,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.11,Neh 1:11,10,"Молю Тебя, Господи! Да будет ухо Твое внимательно к молитве раба Твоего и к молитве рабов Твоих, любящих благоговеть пред именем Твоим. И благопоспеши рабу Твоему теперь, и введи его в милость у человека сего. Я был виночерпием у царя."
ru,RUS_SYNODAL,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.1,Neh 2:1,0,"В месяце Нисане, в двадцатый год царя Артаксеркса, [было] перед ним вино. И я взял вино и подал царю, и, казалось, не был печален перед ним."
ru,RUS_SYNODAL,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.2,Neh 2:2,1,"Но царь сказал мне: отчего лице у тебя печально; ты не болен, этого нет, а верно печаль на сердце? Я сильно испугался"
ru,RUS_SYNODAL,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.3,Neh 2:3,2,"и сказал царю: да живет царь во веки! Как не быть печальным лицу моему, когда город, дом гробов отцов моих, в запустении, и ворота его сожжены огнем!"
ru,RUS_SYNODAL,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.4,Neh 2:4,3,И сказал мне царь: чего же ты желаешь? Я помолился Богу небесному
ru,RUS_SYNODAL,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.5,Neh 2:5,4,"и сказал царю: если царю благоугодно, и если в благоволении раб твой пред лицем твоим, то пошли меня в Иудею, в город, [где] гробы отцов моих, чтоб я обстроил его."
ru,RUS_SYNODAL,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.6,Neh 2:6,5,"И сказал мне царь и царица, которая сидела подле него: сколько времени продлится путь твой, и когда возвратишься? И благоугодно было царю послать меня, после того как я назначил время."
ru,RUS_SYNODAL,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.7,Neh 2:7,6,"И сказал я царю: если царю благоугодно, то дал бы мне письма к заречным областеначальникам, чтоб они давали мне пропуск, доколе я не дойду до Иудеи,"
ru,RUS_SYNODAL,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.8,Neh 2:8,7,"и письмо к Асафу, хранителю царских лесов, чтоб он дал мне дерев для ворот крепости, которая при доме [Божием], и для городской стены, и для дома, в котором бы мне жить. И дал мне царь, так как благодеющая рука Бога моего была надо мною."
ru,RUS_SYNODAL,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.9,Neh 2:9,8,И пришел я к заречным областеначальникам и отдал им царские письма. Послал же со мною царь воинских начальников со всадниками.
ru,RUS_SYNODAL,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.10,Neh 2:10,9,"Когда услышал [сие] Санаваллат, Хоронит и Товия, Аммонитский раб, то им было весьма досадно, что пришел человек заботиться о благе сынов Израилевых."
ru,RUS_SYNODAL,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.11,Neh 2:11,10,"И пришел я в Иерусалим. И пробыв там три дня,"
ru,RUS_SYNODAL,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.12,Neh 2:12,11,"встал я ночью с немногими людьми, [бывшими] при мне, и никому не сказал, что Бог мой положил мне на сердце сделать для Иерусалима; животного же не было со мною никакого, кроме того, на котором я ехал."
ru,RUS_SYNODAL,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.13,Neh 2:13,12,"И проехал я ночью через ворота Долины перед источником Драконовым к воротам Навозным, и осмотрел я стены Иерусалима разрушенные и его ворота, сожженные огнем."
ru,RUS_SYNODAL,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.14,Neh 2:14,13,"И подъехал я к воротам Источника и к царскому водоему, но [там] не было места пройти животному, которое было подо мною, –"
ru,RUS_SYNODAL,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.15,Neh 2:15,14,"и я поднялся назад по лощине ночью и осматривал стену, и проехав [опять] воротами Долины, возвратился."
ru,RUS_SYNODAL,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.16,Neh 2:16,15,"И начальствующие не знали, куда я ходил и что я делаю: ни Иудеям, ни священникам, ни знатнейшим, ни начальствующим, ни прочим производителям работ я дотоле ничего не открывал."
ru,RUS_SYNODAL,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.17,Neh 2:17,16,"И сказал я им: вы видите бедствие, в каком мы находимся; Иерусалим пуст и ворота его сожжены огнем; пойдем, построим стену Иерусалима, и не будем впредь [в таком] уничижении."
ru,RUS_SYNODAL,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.18,Neh 2:18,17,"И я рассказал им о благодеявшей мне руке Бога моего, а также и слова царя, которые он говорил мне. И сказали они: будем строить, – и укрепили руки свои на благое [дело]."
