languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.1,Ps 1:1,0,"Блажен муж, который не ходит на совет нечестивых и не стоит на пути грешных и не сидит в собрании развратителей,"
ru,RUS_SYNODAL,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.2,Ps 1:2,1,"но в законе Господа воля его, и о законе Его размышляет он день и ночь!"
ru,RUS_SYNODAL,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.3,Ps 1:3,2,"И будет он как дерево, посаженное при потоках вод, которое приносит плод свой во время свое, и лист которого не вянет; и во всем, что он ни делает, успеет."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.4,Ps 1:4,3,"Не так – нечестивые; но они – как прах, возметаемый ветром."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.5,Ps 1:5,4,"Потому не устоят нечестивые на суде, и грешники – в собрании праведных."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.6,Ps 1:6,5,"Ибо знает Господь путь праведных, а путь нечестивых погибнет."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.1,Ps 2:1,0,"Псалом Давида. Зачем мятутся народы, и племена замышляют тщетное?"
ru,RUS_SYNODAL,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.2,Ps 2:2,1,"Восстают цари земли, и князья совещаются вместе против Господа и против Помазанника Его."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.3,Ps 2:3,2,"""Расторгнем узы их, и свергнем с себя оковы их""."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.4,Ps 2:4,3,"Живущий на небесах посмеется, Господь поругается им."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.5,Ps 2:5,4,Тогда скажет им во гневе Своем и яростью Своею приведет их в смятение:
ru,RUS_SYNODAL,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.6,Ps 2:6,5,"""Я помазал Царя Моего над Сионом, святою горою Моею;"
ru,RUS_SYNODAL,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.7,Ps 2:7,6,возвещу определение: Господь сказал Мне: Ты Сын Мой; Я ныне родил Тебя;
ru,RUS_SYNODAL,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.8,Ps 2:8,7,"проси у Меня, и дам народы в наследие Тебе и пределы земли во владение Тебе;"
ru,RUS_SYNODAL,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.9,Ps 2:9,8,"Ты поразишь их жезлом железным; сокрушишь их, как сосуд горшечника""."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.10,Ps 2:10,9,"Итак вразумитесь, цари; научитесь, судьи земли!"
ru,RUS_SYNODAL,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.11,Ps 2:11,10,Служите Господу со страхом и радуйтесь с трепетом.
ru,RUS_SYNODAL,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.12,Ps 2:12,11,"Почтите Сына, чтобы Он не прогневался, и чтобы вам не погибнуть в пути [вашем], ибо гнев Его возгорится вскоре. Блаженны все, уповающие на Него."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.1,Ps 3:1,0,"Псалом Давида, когда он бежал от Авессалома, сына своего."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.2,Ps 3:2,1,Господи! как умножились враги мои! Многие восстают на меня
ru,RUS_SYNODAL,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.3,Ps 3:3,2,"многие говорят душе моей: ""нет ему спасения в Боге""."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.4,Ps 3:4,3,"Но Ты, Господи, щит предо мною, слава моя, и Ты возносишь голову мою."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.5,Ps 3:5,4,"Гласом моим взываю к Господу, и Он слышит меня со святой горы Своей."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.6,Ps 3:6,5,"Ложусь я, сплю и встаю, ибо Господь защищает меня."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.7,Ps 3:7,6,"Не убоюсь тем народа, которые со всех сторон ополчились на меня."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.8,Ps 3:8,7,"Восстань, Господи! спаси меня, Боже мой! ибо Ты поражаешь в ланиту всех врагов моих; сокрушаешь зубы нечестивых."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.9,Ps 3:9,8,От Господа спасение. Над народом Твоим благословение Твое.
ru,RUS_SYNODAL,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.1,Ps 4:1,0,Начальнику хора. На струнных [орудиях]. Псалом Давида.
ru,RUS_SYNODAL,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.2,Ps 4:2,1,"Когда я взываю, услышь меня, Боже правды моей! В тесноте Ты давал мне простор. Помилуй меня и услышь молитву мою."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.3,Ps 4:3,2,Сыны мужей! доколе слава моя будет в поругании? доколе будете любить суету и искать лжи?
ru,RUS_SYNODAL,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.4,Ps 4:4,3,"Знайте, что Господь отделил для Себя святаго Своего; Господь слышит, когда я призываю Его."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.5,Ps 4:5,4,"Гневаясь, не согрешайте: размыслите в сердцах ваших на ложах ваших, и утишитесь;"
ru,RUS_SYNODAL,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.6,Ps 4:6,5,приносите жертвы правды и уповайте на Господа.
ru,RUS_SYNODAL,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.7,Ps 4:7,6,"Многие говорят: ""кто покажет нам благо?"" Яви нам свет лица Твоего, Господи!"
ru,RUS_SYNODAL,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.8,Ps 4:8,7,"Ты исполнил сердце мое веселием с того времени, как у них хлеб и вино умножились."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.9,Ps 4:9,8,"Спокойно ложусь я и сплю, ибо Ты, Господи, един даешь мне жить в безопасности."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.1,Ps 5:1,0,Начальнику хора. На духовых [орудиях]. Псалом Давида.
ru,RUS_SYNODAL,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.2,Ps 5:2,1,"Услышь, Господи, слова мои, уразумей помышления мои."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.3,Ps 5:3,2,"Внемли гласу вопля моего, Царь мой и Бог мой! ибо я к Тебе молюсь."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.4,Ps 5:4,3,"Господи! рано услышь голос мой, – рано предстану пред Тобою, и буду ожидать,"
ru,RUS_SYNODAL,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.5,Ps 5:5,4,"ибо Ты Бог, не любящий беззакония; у Тебя не водворится злой;"
ru,RUS_SYNODAL,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.6,Ps 5:6,5,"нечестивые не пребудут пред очами Твоими: Ты ненавидишь всех, делающих беззаконие."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.7,Ps 5:7,6,Ты погубишь говорящих ложь; кровожадного и коварного гнушается Господь.
ru,RUS_SYNODAL,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.8,Ps 5:8,7,"А я, по множеству милости Твоей, войду в дом Твой, поклонюсь святому храму Твоему в страхе Твоем."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.9,Ps 5:9,8,"Господи! путеводи меня в правде Твоей, ради врагов моих; уровняй предо мною путь Твой."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.10,Ps 5:10,9,"Ибо нет в устах их истины: сердце их – пагуба, гортань их – открытый гроб, языком своим льстят."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.11,Ps 5:11,10,"Осуди их, Боже, да падут они от замыслов своих; по множеству нечестия их, отвергни их, ибо они возмутились против Тебя."
ru,RUS_SYNODAL,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.12,Ps 5:12,11,"И возрадуются все уповающие на Тебя, вечно будут ликовать, и Ты будешь покровительствовать им; и будут хвалиться Тобою любящие имя Твое."
