languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Song,Song,21,Song.1,Song 1,0,Song.1.1,Song 1:1,0,Да лобзает он меня лобзанием уст своих! Ибо ласки твои лучше вина.
ru,RUS_SYNODAL,Song,Song,21,Song.1,Song 1,0,Song.1.2,Song 1:2,1,От благовония мастей твоих имя твое – как разлитое миро; поэтому девицы любят тебя.
ru,RUS_SYNODAL,Song,Song,21,Song.1,Song 1,0,Song.1.3,Song 1:3,2,"Влеки меня, мы побежим за тобою; – царь ввел меня в чертоги свои, – будем восхищаться и радоваться тобою, превозносить ласки твои больше, нежели вино; достойно любят тебя!"
ru,RUS_SYNODAL,Song,Song,21,Song.1,Song 1,0,Song.1.4,Song 1:4,3,"Дщери Иерусалимские! черна я, но красива, как шатры Кидарские, как завесы Соломоновы."
ru,RUS_SYNODAL,Song,Song,21,Song.1,Song 1,0,Song.1.5,Song 1:5,4,"Не смотрите на меня, что я смугла, ибо солнце опалило меня: сыновья матери моей разгневались на меня, поставили меня стеречь виноградники, – моего собственного виноградника я не стерегла."
ru,RUS_SYNODAL,Song,Song,21,Song.1,Song 1,0,Song.1.6,Song 1:6,5,"Скажи мне, ты, которого любит душа моя: где пасешь ты? где отдыхаешь в полдень? к чему мне быть скиталицею возле стад товарищей твоих?"
ru,RUS_SYNODAL,Song,Song,21,Song.1,Song 1,0,Song.1.7,Song 1:7,6,"Если ты не знаешь этого, прекраснейшая из женщин, то иди себе по следам овец и паси козлят твоих подле шатров пастушеских."
ru,RUS_SYNODAL,Song,Song,21,Song.1,Song 1,0,Song.1.8,Song 1:8,7,"Кобылице моей в колеснице фараоновой я уподобил тебя, возлюбленная моя."
ru,RUS_SYNODAL,Song,Song,21,Song.1,Song 1,0,Song.1.9,Song 1:9,8,"Прекрасны ланиты твои под подвесками, шея твоя в ожерельях;"
ru,RUS_SYNODAL,Song,Song,21,Song.1,Song 1,0,Song.1.10,Song 1:10,9,золотые подвески мы сделаем тебе с серебряными блестками.
ru,RUS_SYNODAL,Song,Song,21,Song.1,Song 1,0,Song.1.11,Song 1:11,10,"Доколе царь был за столом своим, нард мой издавал благовоние свое."
ru,RUS_SYNODAL,Song,Song,21,Song.1,Song 1,0,Song.1.12,Song 1:12,11,"Мирровый пучок – возлюбленный мой у меня, у грудей моих пребывает."
ru,RUS_SYNODAL,Song,Song,21,Song.1,Song 1,0,Song.1.13,Song 1:13,12,"Как кисть кипера, возлюбленный мой у меня в виноградниках Енгедских."
ru,RUS_SYNODAL,Song,Song,21,Song.1,Song 1,0,Song.1.14,Song 1:14,13,"О, ты прекрасна, возлюбленная моя, ты прекрасна! глаза твои голубиные."
ru,RUS_SYNODAL,Song,Song,21,Song.1,Song 1,0,Song.1.15,Song 1:15,14,"О, ты прекрасен, возлюбленный мой, и любезен! и ложе у нас – зелень;"
ru,RUS_SYNODAL,Song,Song,21,Song.1,Song 1,0,Song.1.16,Song 1:16,15,"кровли домов наших – кедры,"
ru,RUS_SYNODAL,Song,Song,21,Song.1,Song 1,0,Song.1.17,Song 1:17,16,потолки наши – кипарисы.
ru,RUS_SYNODAL,Song,Song,21,Song.2,Song 2,1,Song.2.1,Song 2:1,0,"Я нарцисс Саронский, лилия долин!"
ru,RUS_SYNODAL,Song,Song,21,Song.2,Song 2,1,Song.2.2,Song 2:2,1,"Что лилия между тернами, то возлюбленная моя между девицами."
ru,RUS_SYNODAL,Song,Song,21,Song.2,Song 2,1,Song.2.3,Song 2:3,2,"Что яблоня между лесными деревьями, то возлюбленный мой между юношами. В тени ее люблю я сидеть, и плоды ее сладки для гортани моей."
ru,RUS_SYNODAL,Song,Song,21,Song.2,Song 2,1,Song.2.4,Song 2:4,3,"Он ввел меня в дом пира, и знамя его надо мною – любовь."
ru,RUS_SYNODAL,Song,Song,21,Song.2,Song 2,1,Song.2.5,Song 2:5,4,"Подкрепите меня вином, освежите меня яблоками, ибо я изнемогаю от любви."
ru,RUS_SYNODAL,Song,Song,21,Song.2,Song 2,1,Song.2.6,Song 2:6,5,"Левая рука его у меня под головою, а правая обнимает меня."
ru,RUS_SYNODAL,Song,Song,21,Song.2,Song 2,1,Song.2.7,Song 2:7,6,"Заклинаю вас, дщери Иерусалимские, сернами или полевыми ланями: не будите и не тревожьте возлюбленной, доколе ей угодно."
ru,RUS_SYNODAL,Song,Song,21,Song.2,Song 2,1,Song.2.8,Song 2:8,7,"Голос возлюбленного моего! вот, он идет, скачет по горам, прыгает по холмам."
ru,RUS_SYNODAL,Song,Song,21,Song.2,Song 2,1,Song.2.9,Song 2:9,8,"Друг мой похож на серну или на молодого оленя. Вот, он стоит у нас за стеною, заглядывает в окно, мелькает сквозь решетку."
ru,RUS_SYNODAL,Song,Song,21,Song.2,Song 2,1,Song.2.10,Song 2:10,9,"Возлюбленный мой начал говорить мне: встань, возлюбленная моя, прекрасная моя, выйди!"
