languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.1,Dan 1:1,0,"В третий год царствования Иоакима, царя Иудейского, пришел Навуходоносор, царь Вавилонский, к Иерусалиму и осадил его."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.2,Dan 1:2,1,"И предал Господь в руку его Иоакима, царя Иудейского, и часть сосудов дома Божия, и он отправил их в землю Сеннаар, в дом бога своего, и внес эти сосуды в сокровищницу бога своего."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.3,Dan 1:3,2,"И сказал царь Асфеназу, начальнику евнухов своих, чтобы он из сынов Израилевых, из рода царского и княжеского, привел"
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.4,Dan 1:4,3,"отроков, у которых нет никакого телесного недостатка, красивых видом, и понятливых для всякой науки, и разумеющих науки, и смышленых и годных служить в чертогах царских, и чтобы научил их книгам и языку Халдейскому."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.5,Dan 1:5,4,"И назначил им царь ежедневную пищу с царского стола и вино, которое сам пил, и велел воспитывать их три года, по истечении которых они должны были предстать пред царя."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.6,Dan 1:6,5,"Между ними были из сынов Иудиных Даниил, Анания, Мисаил и Азария."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.7,Dan 1:7,6,"И переименовал их начальник евнухов – Даниила Валтасаром, Ананию Седрахом, Мисаила Мисахом и Азарию Авденаго."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.8,Dan 1:8,7,"Даниил положил в сердце своем не оскверняться яствами со стола царского и вином, какое пьет царь, и потому просил начальника евнухов о том, чтобы не оскверняться ему."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.9,Dan 1:9,8,Бог даровал Даниилу милость и благорасположение начальника евнухов;
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.10,Dan 1:10,9,"и начальник евнухов сказал Даниилу: боюсь я господина моего, царя, который сам назначил вам пищу и питье; если он увидит лица ваши худощавее, нежели у отроков, сверстников ваших, то вы сделаете голову мою виновною перед царем."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.11,Dan 1:11,10,"Тогда сказал Даниил Амелсару, которого начальник евнухов приставил к Даниилу, Анании, Мисаилу и Азарии:"
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.12,Dan 1:12,11,сделай опыт над рабами твоими в течение десяти дней; пусть дают нам в пищу овощи и воду для питья;
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.13,Dan 1:13,12,"и потом пусть явятся перед тобою лица наши и лица тех отроков, которые питаются царскою пищею, и затем поступай с рабами твоими, как увидишь."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.14,Dan 1:14,13,Он послушался их в этом и испытывал их десять дней.
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.15,Dan 1:15,14,"По истечении же десяти дней лица их оказались красивее, и телом они были полнее всех тех отроков, которые питались царскими яствами."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.16,Dan 1:16,15,Тогда Амелсар брал их кушанье и вино для питья и давал им овощи.
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.17,Dan 1:17,16,"И даровал Бог четырем сим отрокам знание и разумение всякой книги и мудрости, а Даниилу еще даровал разуметь и всякие видения и сны."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.18,Dan 1:18,17,"По окончании тех дней, когда царь приказал представить их, начальник евнухов представил их Навуходоносору."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.19,Dan 1:19,18,"И царь говорил с ними, и из всех [отроков] не нашлось подобных Даниилу, Анании, Мисаилу и Азарии, и стали они служить пред царем."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.20,Dan 1:20,19,"И во всяком деле мудрого уразумения, о чем ни спрашивал их царь, он находил их в десять раз выше всех тайноведцев и волхвов, какие были во всем царстве его."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.21,Dan 1:21,20,И был там Даниил до первого года царя Кира.
ru,RUS_SYNODAL,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.1,Dan 2:1,0,"Во второй год царствования Навуходоносора снились Навуходоносору сны, и возмутился дух его, и сон удалился от него."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.2,Dan 2:2,1,"И велел царь созвать тайноведцев, и гадателей, и чародеев, и Халдеев, чтобы они рассказали царю сновидения его. Они пришли, и стали перед царем."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.3,Dan 2:3,2,"И сказал им царь: сон снился мне, и тревожится дух мой; желаю знать этот сон."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.4,Dan 2:4,3,"И сказали Халдеи царю по–арамейски: царь! вовеки живи! скажи сон рабам твоим, и мы объясним значение его."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.5,Dan 2:5,4,"Отвечал царь и сказал Халдеям: слово отступило от меня; если вы не скажете мне сновидения и значения его, то в куски будете изрублены, и домы ваши обратятся в развалины."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.6,Dan 2:6,5,"Если же расскажете сон и значение его, то получите от меня дары, награду и великую почесть; итак скажите мне сон и значение его."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.7,Dan 2:7,6,"Они вторично отвечали и сказали: да скажет царь рабам своим сновидение, и мы объясним его значение."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.8,Dan 2:8,7,"Отвечал царь и сказал: верно знаю, что вы хотите выиграть время, потому что видите, что слово отступило от меня."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.9,Dan 2:9,8,"Так как вы не объявляете мне сновидения, то у вас один умысел: вы собираетесь сказать мне ложь и обман, пока минет время; итак расскажите мне сон, и тогда я узнаю, что вы можете объяснить мне и значение его."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.10,Dan 2:10,9,"Халдеи отвечали царю и сказали: нет на земле человека, который мог бы открыть это дело царю, и потому ни один царь, великий и могущественный, не требовал подобного ни от какого тайноведца, гадателя и Халдея."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.11,Dan 2:11,10,"Дело, которого царь требует, так трудно, что никто другой не может открыть его царю, кроме богов, которых обитание не с плотью."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.12,Dan 2:12,11,"Рассвирепел царь и сильно разгневался на это, и приказал истребить всех мудрецов Вавилонских."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.13,Dan 2:13,12,"Когда вышло это повеление, чтобы убивать мудрецов, искали Даниила и товарищей его, чтобы умертвить их."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.14,Dan 2:14,13,"Тогда Даниил обратился с советом и мудростью к Ариоху, начальнику царских телохранителей, который вышел убивать мудрецов Вавилонских;"
ru,RUS_SYNODAL,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.15,Dan 2:15,14,"и спросил Ариоха, сильного при царе: ""почему такое грозное повеление от царя?"" Тогда Ариох рассказал все дело Даниилу."
ru,RUS_SYNODAL,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.16,Dan 2:16,15,"И Даниил вошел, и упросил царя дать ему время, и он представит царю толкование [сна]."
