languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.1,Hos 1:1,0,"Слово Господне, которое было к Осии, сыну Беериину, во дни Озии, Иоафама, Ахаза, Езекии, царей Иудейских, и во дни Иеровоама, сына Иоасова, царя Израильского."
ru,RUS_SYNODAL,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.2,Hos 1:2,1,"Начало слова Господня к Осии. И сказал Господь Осии: иди, возьми себе жену блудницу и детей блуда; ибо сильно блудодействует земля сия, отступив от Господа."
ru,RUS_SYNODAL,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.3,Hos 1:3,2,"И пошел он и взял Гомерь, дочь Дивлаима; и она зачала и родила ему сына."
ru,RUS_SYNODAL,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.4,Hos 1:4,3,"И Господь сказал ему: нареки ему имя Изреель, потому что еще немного пройдет, и Я взыщу кровь Изрееля с дома Ииуева, и положу конец царству дома Израилева,"
ru,RUS_SYNODAL,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.5,Hos 1:5,4,"и будет в тот день, Я сокрушу лук Израилев в долине Изреель."
ru,RUS_SYNODAL,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.6,Hos 1:6,5,"И зачала еще, и родила дочь, и Он сказал ему: нареки ей имя Лорухама; ибо Я уже не буду более миловать дома Израилева, чтобы прощать им."
ru,RUS_SYNODAL,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.7,Hos 1:7,6,"А дом Иудин помилую и спасу их в Господе Боге их, спасу их ни луком, ни мечом, ни войною, ни конями и всадниками."
ru,RUS_SYNODAL,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.8,Hos 1:8,7,"И, откормив грудью Непомилованную, она зачала, и родила сына."
ru,RUS_SYNODAL,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.9,Hos 1:9,8,"И сказал Он: нареки ему имя Лоамми, потому что вы не Мой народ, и Я не буду вашим [Богом]."
ru,RUS_SYNODAL,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.10,Hos 1:10,9,"Но будет число сынов Израилевых как песок морской, которого нельзя ни измерить, ни исчислить; и там, где говорили им: ""вы не Мой народ"", будут говорить им: ""вы сыны Бога живаго""."
ru,RUS_SYNODAL,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.11,Hos 1:11,10,"И соберутся сыны Иудины и сыны Израилевы вместе, и поставят себе одну главу, и выйдут из земли [переселения]; ибо велик день Изрееля!"
ru,RUS_SYNODAL,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.1,Hos 2:1,0,"Говорите братьям вашим: ""Мой народ"", и сестрам вашим: ""Помилованная""."
ru,RUS_SYNODAL,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.2,Hos 2:2,1,"Судитесь с вашею матерью, судитесь; ибо она не жена Моя, и Я не муж ее; пусть она удалит блуд от лица своего и прелюбодеяние от грудей своих,"
ru,RUS_SYNODAL,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.3,Hos 2:3,2,"дабы Я не разоблачил ее донага и не выставил ее, как в день рождения ее, не сделал ее пустынею, не обратил ее в землю сухую и не уморил ее жаждою."
ru,RUS_SYNODAL,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.4,Hos 2:4,3,"И детей ее не помилую, потому что они дети блуда."
ru,RUS_SYNODAL,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.5,Hos 2:5,4,"Ибо блудодействовала мать их и осрамила себя зачавшая их; ибо говорила: ""пойду за любовниками моими, которые дают мне хлеб и воду, шерсть и лен, елей и напитки""."
ru,RUS_SYNODAL,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.6,Hos 2:6,5,"За то вот, Я загорожу путь ее тернами и обнесу ее оградою, и она не найдет стезей своих,"
ru,RUS_SYNODAL,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.7,Hos 2:7,6,"и погонится за любовниками своими, но не догонит их, и будет искать их, но не найдет, и скажет: ""пойду я, и возвращусь к первому мужу моему; ибо тогда лучше было мне, нежели теперь""."
ru,RUS_SYNODAL,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.8,Hos 2:8,7,"А не знала она, что Я, Я давал ей хлеб и вино и елей и умножил у нее серебро и золото, из которого сделали [истукана] Ваала."
ru,RUS_SYNODAL,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.9,Hos 2:9,8,"За то Я возьму назад хлеб Мой в его время и вино Мое в его пору и отниму шерсть и лен Мой, чем покрывается нагота ее."
ru,RUS_SYNODAL,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.10,Hos 2:10,9,"И ныне открою срамоту ее пред глазами любовников ее, и никто не исторгнет ее из руки Моей."
