languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.1,Joel 1:1,0,"Слово Господне, которое было к Иоилю, сыну Вафуила."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.2,Joel 1:2,1,"Слушайте это, старцы, и внимайте, все жители земли сей: бывало ли такое во дни ваши, или во дни отцов ваших?"
ru,RUS_SYNODAL,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.3,Joel 1:3,2,"Передайте об этом детям вашим; а дети ваши пусть скажут своим детям, а их дети следующему роду:"
ru,RUS_SYNODAL,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.4,Joel 1:4,3,"оставшееся от гусеницы ела саранча, оставшееся от саранчи ели черви, а оставшееся от червей доели жуки."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.5,Joel 1:5,4,"Пробудитесь, пьяницы, и плачьте и рыдайте, все пьющие вино, о виноградном соке, ибо он отнят от уст ваших!"
ru,RUS_SYNODAL,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.6,Joel 1:6,5,"Ибо пришел на землю Мою народ сильный и бесчисленный; зубы у него – зубы львиные, и челюсти у него – как у львицы."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.7,Joel 1:7,6,"Опустошил он виноградную лозу Мою, и смоковницу Мою обломал, ободрал ее догола, и бросил; сделались белыми ветви ее."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.8,Joel 1:8,7,"Рыдай, как молодая жена, препоясавшись [вретищем], о муже юности своей!"
ru,RUS_SYNODAL,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.9,Joel 1:9,8,"Прекратилось хлебное приношение и возлияние в доме Господнем; плачут священники, служители Господни."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.10,Joel 1:10,9,"Опустошено поле, сетует земля; ибо истреблен хлеб, высох виноградный сок, завяла маслина."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.11,Joel 1:11,10,"Краснейте от стыда, земледельцы, рыдайте, виноградари, о пшенице и ячмене, потому что погибла жатва в поле,"
ru,RUS_SYNODAL,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.12,Joel 1:12,11,"засохла виноградная лоза и смоковница завяла; гранатовое дерево, пальма и яблоня, все дерева в поле посохли; потому и веселье у сынов человеческих исчезло."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.13,Joel 1:13,12,"Препояшьтесь [вретищем] и плачьте, священники! рыдайте, служители алтаря! войдите, ночуйте во вретищах, служители Бога моего! ибо не стало в доме Бога вашего хлебного приношения и возлияния."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.14,Joel 1:14,13,"Назначьте пост, объявите торжественное собрание, созовите старцев и всех жителей страны сей в дом Господа Бога вашего, и взывайте к Господу."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.15,Joel 1:15,14,"О, какой день! ибо день Господень близок; как опустошение от Всемогущего придет он."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.16,Joel 1:16,15,"Не пред нашими ли глазами отнимается пища, от дома Бога нашего – веселье и радость?"
ru,RUS_SYNODAL,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.17,Joel 1:17,16,"Истлели зерна под глыбами своими, опустели житницы, разрушены кладовые, ибо не стало хлеба."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.18,Joel 1:18,17,"Как стонет скот! уныло ходят стада волов, ибо нет для них пажити; томятся и стада овец."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.19,Joel 1:19,18,"К Тебе, Господи, взываю; ибо огонь пожрал злачные пастбища пустыни, и пламя попалило все дерева в поле."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.20,Joel 1:20,19,"Даже и животные на поле взывают к Тебе, потому что иссохли потоки вод, и огонь истребил пастбища пустыни."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.1,Joel 2:1,0,"Трубите трубою на Сионе и бейте тревогу на святой горе Моей; да трепещут все жители земли, ибо наступает день Господень, ибо он близок –"
ru,RUS_SYNODAL,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.2,Joel 2:2,1,"день тьмы и мрака, день облачный и туманный: как утренняя заря распространяется по горам народ многочисленный и сильный, какого не бывало от века и после того не будет в роды родов."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.3,Joel 2:3,2,"Перед ним пожирает огонь, а за ним палит пламя; перед ним земля как сад Едемский, а позади него будет опустошенная степь, и никому не будет спасения от него."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.4,Joel 2:4,3,"Вид его как вид коней, и скачут они как всадники;"
ru,RUS_SYNODAL,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.5,Joel 2:5,4,"скачут по вершинам гор как бы со стуком колесниц, как бы с треском огненного пламени, пожирающего солому, как сильный народ, выстроенный к битве."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.6,Joel 2:6,5,"При виде его затрепещут народы, у всех лица побледнеют."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.7,Joel 2:7,6,"Как борцы бегут они и как храбрые воины влезают на стену, и каждый идет своею дорогою, и не сбивается с путей своих."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.8,Joel 2:8,7,"Не давят друг друга, каждый идет своею стезею, и падают на копья, но остаются невредимы."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.9,Joel 2:9,8,"Бегают по городу, поднимаются на стены, влезают на дома, входят в окна, как вор."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.10,Joel 2:10,9,"Перед ними потрясется земля, поколеблется небо; солнце и луна помрачатся, и звезды потеряют свой свет."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.11,Joel 2:11,10,"И Господь даст глас Свой пред воинством Своим, ибо весьма многочисленно полчище Его и могуществен исполнитель слова Его; ибо велик день Господень и весьма страшен, и кто выдержит его?"
ru,RUS_SYNODAL,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.12,Joel 2:12,11,"Но и ныне еще говорит Господь: обратитесь ко Мне всем сердцем своим в посте, плаче и рыдании."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.13,Joel 2:13,12,"Раздирайте сердца ваши, а не одежды ваши, и обратитесь к Господу Богу вашему; ибо Он благ и милосерд, долготерпелив и многомилостив и сожалеет о бедствии."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.14,Joel 2:14,13,"Кто знает, не сжалится ли Он, и не оставит ли благословения, хлебного приношения и возлияния Господу Богу вашему?"
ru,RUS_SYNODAL,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.15,Joel 2:15,14,"Вострубите трубою на Сионе, назначьте пост и объявите торжественное собрание."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.16,Joel 2:16,15,"Соберите народ, созовите собрание, пригласите старцев, соберите отроков и грудных младенцев; пусть выйдет жених из чертога своего и невеста из своей горницы."
ru,RUS_SYNODAL,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.17,Joel 2:17,16,"Между притвором и жертвенником да плачут священники, служители Господни, и говорят: ""пощади, Господи, народ Твой, не предай наследия Твоего на поругание, чтобы не издевались над ним народы; для чего будут говорить между народами: где Бог их?"""
