languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.1,Mic 1:1,0,"Слово Господне, которое было к Михею Морасфитину во дни Иоафама, Ахаза и Езекии, царей Иудейских, и которое открыто ему о Самарии и Иерусалиме."
ru,RUS_SYNODAL,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.2,Mic 1:2,1,"Слушайте, все народы, внимай, земля и все, что наполняет ее! Да будет Господь Бог свидетелем против вас, Господь из святаго храма Своего!"
ru,RUS_SYNODAL,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.3,Mic 1:3,2,"Ибо вот, Господь исходит от места Своего, низойдет и наступит на высоты земли, –"
ru,RUS_SYNODAL,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.4,Mic 1:4,3,"и горы растают под Ним, долины распадутся, как воск от огня, как воды, льющиеся с крутизны."
ru,RUS_SYNODAL,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.5,Mic 1:5,4,"Все это – за нечестие Иакова, за грех дома Израилева. От кого нечестие Иакова? не от Самарии ли? Кто [устроил] высоты в Иудее? не Иерусалим ли?"
ru,RUS_SYNODAL,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.6,Mic 1:6,5,"За то сделаю Самарию грудою развалин в поле, местом для разведения винограда; низрину в долину камни ее и обнажу основания ее."
ru,RUS_SYNODAL,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.7,Mic 1:7,6,"Все истуканы ее будут разбиты и все любодейные дары ее сожжены будут огнем, и всех идолов ее предам разрушению, ибо из любодейных даров она устраивала их, на любодейные дары они и будут обращены."
ru,RUS_SYNODAL,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.8,Mic 1:8,7,"Об этом буду я плакать и рыдать, буду ходить, как ограбленный и обнаженный, выть, как шакалы, и плакать, как страусы,"
ru,RUS_SYNODAL,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.9,Mic 1:9,8,"потому что болезненно поражение ее, дошло до Иуды, достигло даже до ворот народа моего, до Иерусалима."
ru,RUS_SYNODAL,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.10,Mic 1:10,9,"Не объявляйте об этом в Гефе, не плачьте там громко; но в селении Офра покрой себя пеплом."
ru,RUS_SYNODAL,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.11,Mic 1:11,10,"Переселяйтесь, жительницы Шафира, срамно обнаженные; не убежит и живущая в Цаане; плач в селении Ецель не даст вам остановиться в нем."
ru,RUS_SYNODAL,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.12,Mic 1:12,11,"Горюет о своем добре жительница Марофы, ибо сошло бедствие от Господа к воротам Иерусалима."
ru,RUS_SYNODAL,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.13,Mic 1:13,12,"Запрягай в колесницу быстрых, жительница Лахиса; ты – начало греха дщери Сионовой, ибо у тебя появились преступления Израиля."
ru,RUS_SYNODAL,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.14,Mic 1:14,13,Посему ты посылать будешь дары в Морешеф–Геф; но селения Ахзива будут обманом для царей Израилевых.
ru,RUS_SYNODAL,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.15,Mic 1:15,14,"Еще наследника приведу к тебе, жительница Мореша; он пройдет до Одоллама, славы Израиля."
ru,RUS_SYNODAL,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.16,Mic 1:16,15,"Сними с себя волосы, остригись, скорбя о нежно любимых сынах твоих; расширь из–за них лысину, как у линяющего орла, ибо они переселены будут от тебя."
ru,RUS_SYNODAL,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.1,Mic 2:1,0,"Горе замышляющим беззаконие и на ложах своих придумывающим злодеяния, которые совершают утром на рассвете, потому что есть в руке их сила!"
ru,RUS_SYNODAL,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.2,Mic 2:2,1,"Пожелают полей и берут их силою, домов, – и отнимают их; обирают человека и его дом, мужа и его наследие."
ru,RUS_SYNODAL,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.3,Mic 2:3,2,"Посему так говорит Господь: вот, Я помышляю навести на этот род такое бедствие, которого вы не свергнете с шеи вашей, и не будете ходить выпрямившись; ибо это время злое."
ru,RUS_SYNODAL,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.4,Mic 2:4,3,"В тот день произнесут о вас притчу и будут плакать горьким плачем и говорить: ""мы совершенно разорены! удел народа моего отдан другим; как возвратится ко мне! поля наши уже разделены иноплеменникам""."
ru,RUS_SYNODAL,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.5,Mic 2:5,4,"Посему не будет у тебя никого, кто бросил бы жребий для измерения в собрании пред Господом."
ru,RUS_SYNODAL,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.6,Mic 2:6,5,"Не пророчествуйте, пророки; не пророчествуйте им, чтобы не постигло вас бесчестие."
ru,RUS_SYNODAL,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.7,Mic 2:7,6,"О, называющийся домом Иакова! разве умалился Дух Господень? таковы ли действия Его? не благотворны ли слова Мои для того, кто поступает справедливо?"
ru,RUS_SYNODAL,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.8,Mic 2:8,7,"Народ же, который был прежде Моим, восстал как враг, и вы отнимаете как верхнюю, так и нижнюю одежду у проходящих мирно, отвращающихся войны."
