languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.1,Hab 1:1,0,"Пророческое видение, которое видел пророк Аввакум."
ru,RUS_SYNODAL,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.2,Hab 1:2,1,"Доколе, Господи, я буду взывать, и Ты не слышишь, буду вопиять к Тебе о насилии, и Ты не спасаешь?"
ru,RUS_SYNODAL,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.3,Hab 1:3,2,"Для чего даешь мне видеть злодейство и смотреть на бедствия? Грабительство и насилие предо мною, и восстает вражда и поднимается раздор."
ru,RUS_SYNODAL,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.4,Hab 1:4,3,"От этого закон потерял силу, и суда правильного нет: так как нечестивый одолевает праведного, то и суд происходит превратный."
ru,RUS_SYNODAL,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.5,Hab 1:5,4,"Посмотрите между народами и внимательно вглядитесь, и вы сильно изумитесь; ибо Я сделаю во дни ваши такое дело, которому вы не поверили бы, если бы вам рассказывали."
ru,RUS_SYNODAL,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.6,Hab 1:6,5,"Ибо вот, Я подниму Халдеев, народ жестокий и необузданный, который ходит по широтам земли, чтобы завладеть не принадлежащими ему селениями."
ru,RUS_SYNODAL,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.7,Hab 1:7,6,Страшен и грозен он; от него самого происходит суд его и власть его.
ru,RUS_SYNODAL,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.8,Hab 1:8,7,"Быстрее барсов кони его и прытче вечерних волков; скачет в разные стороны конница его; издалека приходят всадники его, прилетают как орел, бросающийся на добычу."
ru,RUS_SYNODAL,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.9,Hab 1:9,8,"Весь он идет для грабежа; устремив лице свое вперед, он забирает пленников, как песок."
ru,RUS_SYNODAL,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.10,Hab 1:10,9,"И над царями он издевается, и князья служат ему посмешищем; над всякою крепостью он смеется: насыплет осадный вал и берет ее."
ru,RUS_SYNODAL,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.11,Hab 1:11,10,"Тогда надмевается дух его, и он ходит и буйствует; сила его – бог его."
ru,RUS_SYNODAL,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.12,Hab 1:12,11,"Но не Ты ли издревле Господь Бог мой, Святый мой? мы не умрем! Ты, Господи, только для суда попустил его. Скала моя! для наказания Ты назначил его."
ru,RUS_SYNODAL,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.13,Hab 1:13,12,"Чистым очам Твоим не свойственно глядеть на злодеяния, и смотреть на притеснение Ты не можешь; для чего же Ты смотришь на злодеев и безмолвствуешь, когда нечестивец поглощает того, кто праведнее его,"
ru,RUS_SYNODAL,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.14,Hab 1:14,13,"и оставляешь людей как рыбу в море, как пресмыкающихся, у которых нет властителя?"
ru,RUS_SYNODAL,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.15,Hab 1:15,14,"Всех их таскает удою, захватывает в сеть свою и забирает их в неводы свои, и от того радуется и торжествует."
ru,RUS_SYNODAL,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.16,Hab 1:16,15,"За то приносит жертвы сети своей и кадит неводу своему, потому что от них тучна часть его и роскошна пища его."
ru,RUS_SYNODAL,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.17,Hab 1:17,16,Неужели для этого он должен опорожнять свою сеть и непрестанно избивать народы без пощады?
ru,RUS_SYNODAL,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.1,Hab 2:1,0,"На стражу мою стал я и, стоя на башне, наблюдал, чтобы узнать, что скажет Он во мне, и что мне отвечать по жалобе моей?"
ru,RUS_SYNODAL,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.2,Hab 2:2,1,"И отвечал мне Господь и сказал: запиши видение и начертай ясно на скрижалях, чтобы читающий легко мог прочитать,"
ru,RUS_SYNODAL,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.3,Hab 2:3,2,"ибо видение относится еще к определенному времени и говорит о конце и не обманет; и хотя бы и замедлило, жди его, ибо непременно сбудется, не отменится."
ru,RUS_SYNODAL,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.4,Hab 2:4,3,"Вот, душа надменная не успокоится, а праведный своею верою жив будет."
ru,RUS_SYNODAL,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.5,Hab 2:5,4,"Надменный человек, как бродящее вино, не успокаивается, так что расширяет душу свою как ад, и как смерть он ненасытен, и собирает к себе все народы, и захватывает себе все племена."
ru,RUS_SYNODAL,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.6,Hab 2:6,5,"Но не все ли они будут произносить о нем притчу и насмешливую песнь: ""горе тому, кто без меры обогащает себя не своим, – на долго ли? – и обременяет себя залогами!"""
ru,RUS_SYNODAL,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.7,Hab 2:7,6,"Не восстанут ли внезапно те, которые будут терзать тебя, и не поднимутся ли против тебя грабители, и ты достанешься им на расхищение?"
ru,RUS_SYNODAL,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.8,Hab 2:8,7,"Так как ты ограбил многие народы, то и тебя ограбят все остальные народы за пролитие крови человеческой, за разорение страны, города и всех живущих в нем."
ru,RUS_SYNODAL,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.9,Hab 2:9,8,"Горе тому, кто жаждет неправедных приобретений для дома своего, чтобы устроить гнездо свое на высоте и тем обезопасить себя от руки несчастья!"
ru,RUS_SYNODAL,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.10,Hab 2:10,9,"Бесславие измыслил ты для твоего дома, истребляя многие народы, и согрешил против души твоей."
ru,RUS_SYNODAL,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.11,Hab 2:11,10,Камни из стен возопиют и перекладины из дерева будут отвечать им:
ru,RUS_SYNODAL,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.12,Hab 2:12,11,"""горе строящему город на крови и созидающему крепости неправдою!"""
ru,RUS_SYNODAL,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.13,Hab 2:13,12,"Вот, не от Господа ли Саваофа это, что народы трудятся для огня и племена мучат себя напрасно?"
ru,RUS_SYNODAL,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.14,Hab 2:14,13,"Ибо земля наполнится познанием славы Господа, как воды наполняют море."
ru,RUS_SYNODAL,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.15,Hab 2:15,14,"Горе тебе, который подаешь ближнему твоему питье с примесью злобы твоей и делаешь его пьяным, чтобы видеть срамоту его!"
ru,RUS_SYNODAL,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.16,Hab 2:16,15,"Ты пресытился стыдом вместо славы; пей же и ты и показывай срамоту, – обратится и к тебе чаша десницы Господней и посрамление на славу твою."
ru,RUS_SYNODAL,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.17,Hab 2:17,16,"Ибо злодейство твое на Ливане обрушится на тебя за истребление устрашенных животных, за пролитие крови человеческой, за опустошение страны, города и всех живущих в нем."
ru,RUS_SYNODAL,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.18,Hab 2:18,17,"Что за польза от истукана, сделанного художником, этого литаго лжеучителя, хотя ваятель, делая немые кумиры, полагается на свое произведение?"
