languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.1,Zeph 1:1,0,"Слово Господне, которое было к Софонии, сыну Хусия, сыну Годолии, сыну Амории, сыну Езекии, во дни Иосии, сына Амонова, царя Иудейского."
ru,RUS_SYNODAL,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.2,Zeph 1:2,1,"Все истреблю с лица земли, говорит Господь:"
ru,RUS_SYNODAL,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.3,Zeph 1:3,2,"истреблю людей и скот, истреблю птиц небесных и рыб морских, и соблазны вместе с нечестивыми; истреблю людей с лица земли, говорит Господь."
ru,RUS_SYNODAL,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.4,Zeph 1:4,3,"И простру руку Мою на Иудею и на всех жителей Иерусалима: истреблю с места сего остатки Ваала, имя жрецов со священниками,"
ru,RUS_SYNODAL,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.5,Zeph 1:5,4,"и тех, которые на кровлях поклоняются воинству небесному, и тех поклоняющихся, которые клянутся Господом и клянутся царем своим,"
ru,RUS_SYNODAL,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.6,Zeph 1:6,5,"и тех, которые отступили от Господа, не искали Господа и не вопрошали о Нем."
ru,RUS_SYNODAL,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.7,Zeph 1:7,6,"Умолкни пред лицем Господа Бога! ибо близок день Господень: уже приготовил Господь жертвенное заклание, назначил, кого позвать."
ru,RUS_SYNODAL,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.8,Zeph 1:8,7,"И будет в день жертвы Господней: Я посещу князей и сыновей царя и всех, одевающихся в одежду иноплеменников;"
ru,RUS_SYNODAL,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.9,Zeph 1:9,8,"посещу в тот день всех, которые перепрыгивают через порог, которые дом Господа своего наполняют насилием и обманом."
ru,RUS_SYNODAL,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.10,Zeph 1:10,9,"И будет в тот день, говорит Господь, вопль у ворот рыбных и рыдание у других ворот и великое разрушение на холмах."
ru,RUS_SYNODAL,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.11,Zeph 1:11,10,"Рыдайте, жители нижней части города, ибо исчезнет весь торговый народ и истреблены будут обремененные серебром."
ru,RUS_SYNODAL,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.12,Zeph 1:12,11,"И будет в то время: Я со светильником осмотрю Иерусалим и накажу тех, которые сидят на дрожжах своих и говорят в сердце своем: ""не делает Господь ни добра, ни зла""."
