languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.1,Zech 1:1,0,"В восьмом месяце, во второй год Дария, было слово Господне к Захарии, сыну Варахиину, сыну Аддову, пророку:"
ru,RUS_SYNODAL,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.2,Zech 1:2,1,"прогневался Господь на отцов ваших великим гневом,"
ru,RUS_SYNODAL,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.3,Zech 1:3,2,"и ты скажи им: так говорит Господь Саваоф: обратитесь ко Мне, говорит Господь Саваоф, и Я обращусь к вам, говорит Господь Саваоф."
ru,RUS_SYNODAL,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.4,Zech 1:4,3,"Не будьте такими, как отцы ваши, к которым взывали прежде бывшие пророки, говоря: ""так говорит Господь Саваоф: обратитесь от злых путей ваших и от злых дел ваших""; но они не слушались и не внимали Мне, говорит Господь."
ru,RUS_SYNODAL,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.5,Zech 1:5,4,"Отцы ваши – где они? да и пророки, будут ли они вечно жить?"
ru,RUS_SYNODAL,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.6,Zech 1:6,5,"Но слова Мои и определения Мои, которые заповедал Я рабам Моим, пророкам, разве не постигли отцов ваших? и они обращались и говорили: ""как определил Господь Саваоф поступить с нами по нашим путям и по нашим делам, так и поступил с нами""."
ru,RUS_SYNODAL,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.7,Zech 1:7,6,"В двадцать четвертый день одиннадцатого месяца, – это месяц Шеват, – во второй год Дария, было слово Господне к Захарии, сыну Варахиину, сыну Аддову, пророку:"
ru,RUS_SYNODAL,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.8,Zech 1:8,7,"видел я ночью: вот, муж на рыжем коне стоит между миртами, которые в углублении, а позади него кони рыжие, пегие и белые, –"
ru,RUS_SYNODAL,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.9,Zech 1:9,8,"и сказал я: кто они, господин мой? И сказал мне Ангел, говоривший со мною: я покажу тебе, кто они."
ru,RUS_SYNODAL,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.10,Zech 1:10,9,"И отвечал муж, который стоял между миртами, и сказал: это те, которых Господь послал обойти землю."
ru,RUS_SYNODAL,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.11,Zech 1:11,10,"И они отвечали Ангелу Господню, стоявшему между миртами, и сказали: обошли мы землю, и вот, вся земля населена и спокойна."
