languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.1,Matt 1:1,0,"Родословие Иисуса Христа, Сына Давидова, Сына Авраамова."
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.2,Matt 1:2,1,Авраам родил Исаака; Исаак родил Иакова; Иаков родил Иуду и братьев его;
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.3,Matt 1:3,2,Иуда родил Фареса и Зару от Фамари; Фарес родил Есрома; Есром родил Арама;
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.4,Matt 1:4,3,Арам родил Аминадава; Аминадав родил Наассона; Наассон родил Салмона;
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.5,Matt 1:5,4,Салмон родил Вооза от Рахавы; Вооз родил Овида от Руфи; Овид родил Иессея;
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.6,Matt 1:6,5,Иессей родил Давида царя; Давид царь родил Соломона от бывшей за Уриею;
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.7,Matt 1:7,6,Соломон родил Ровоама; Ровоам родил Авию; Авия родил Асу;
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.8,Matt 1:8,7,Аса родил Иосафата; Иосафат родил Иорама; Иорам родил Озию;
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.9,Matt 1:9,8,Озия родил Иоафама; Иоафам родил Ахаза; Ахаз родил Езекию;
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.10,Matt 1:10,9,Езекия родил Манассию; Манассия родил Амона; Амон родил Иосию;
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.11,Matt 1:11,10,"Иосия родил Иоакима; Иоаким родил Иехонию и братьев его, перед переселением в Вавилон."
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.12,Matt 1:12,11,"По переселении же в Вавилон, Иехония родил Салафииля; Салафииль родил Зоровавеля;"
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.13,Matt 1:13,12,Зоровавель родил Авиуда; Авиуд родил Елиакима; Елиаким родил Азора;
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.14,Matt 1:14,13,Азор родил Садока; Садок родил Ахима; Ахим родил Елиуда;
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.15,Matt 1:15,14,Елиуд родил Елеазара; Елеазар родил Матфана; Матфан родил Иакова;
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.16,Matt 1:16,15,"Иаков родил Иосифа, мужа Марии, от Которой родился Иисус, называемый Христос."
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.17,Matt 1:17,16,Итак всех родов от Авраама до Давида четырнадцать родов; и от Давида до переселения в Вавилон четырнадцать родов; и от переселения в Вавилон до Христа четырнадцать родов.
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.18,Matt 1:18,17,"Рождество Иисуса Христа было так: по обручении Матери Его Марии с Иосифом, прежде нежели сочетались они, оказалось, что Она имеет во чреве от Духа Святаго."
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.19,Matt 1:19,18,"Иосиф же муж Ее, будучи праведен и не желая огласить Ее, хотел тайно отпустить Ее."
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.20,Matt 1:20,19,"Но когда он помыслил это, – се, Ангел Господень явился ему во сне и сказал: Иосиф, сын Давидов! не бойся принять Марию, жену твою, ибо родившееся в Ней есть от Духа Святаго;"
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.21,Matt 1:21,20,"родит же Сына, и наречешь Ему имя Иисус, ибо Он спасет людей Своих от грехов их."
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.22,Matt 1:22,21,"А все сие произошло, да сбудется реченное Господом через пророка, который говорит:"
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.23,Matt 1:23,22,"се, Дева во чреве приимет и родит Сына, и нарекут имя Ему Еммануил, что значит: с нами Бог."
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.24,Matt 1:24,23,"Встав от сна, Иосиф поступил, как повелел ему Ангел Господень, и принял жену свою,"
ru,RUS_SYNODAL,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.25,Matt 1:25,24,"и не знал Ее. Как наконец Она родила Сына Своего первенца, и он нарек Ему имя: Иисус."
ru,RUS_SYNODAL,Matt,Matt,39,Matt.2,Matt 2,1,Matt.2.1,Matt 2:1,0,"Когда же Иисус родился в Вифлееме Иудейском во дни царя Ирода, пришли в Иерусалим волхвы с востока и говорят:"
ru,RUS_SYNODAL,Matt,Matt,39,Matt.2,Matt 2,1,Matt.2.2,Matt 2:2,1,где родившийся Царь Иудейский? ибо мы видели звезду Его на востоке и пришли поклониться Ему.
ru,RUS_SYNODAL,Matt,Matt,39,Matt.2,Matt 2,1,Matt.2.3,Matt 2:3,2,"Услышав это, Ирод царь встревожился, и весь Иерусалим с ним."
ru,RUS_SYNODAL,Matt,Matt,39,Matt.2,Matt 2,1,Matt.2.4,Matt 2:4,3,"И, собрав всех первосвященников и книжников народных, спрашивал у них: где должно родиться Христу?"
