languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.1,Mark 1:1,0,"Начало Евангелия Иисуса Христа, Сына Божия,"
ru,RUS_SYNODAL,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.2,Mark 1:2,1,"как написано у пророков: вот, Я посылаю Ангела Моего пред лицем Твоим, который приготовит путь Твой пред Тобою."
ru,RUS_SYNODAL,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.3,Mark 1:3,2,"Глас вопиющего в пустыне: приготовьте путь Господу, прямыми сделайте стези Ему."
ru,RUS_SYNODAL,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.4,Mark 1:4,3,"Явился Иоанн, крестя в пустыне и проповедуя крещение покаяния для прощения грехов."
ru,RUS_SYNODAL,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.5,Mark 1:5,4,"И выходили к нему вся страна Иудейская и Иерусалимляне, и крестились от него все в реке Иордане, исповедуя грехи свои."
ru,RUS_SYNODAL,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.6,Mark 1:6,5,"Иоанн же носил одежду из верблюжьего волоса и пояс кожаный на чреслах своих, и ел акриды и дикий мед."
ru,RUS_SYNODAL,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.7,Mark 1:7,6,"И проповедывал, говоря: идет за мною Сильнейший меня, у Которого я недостоин, наклонившись, развязать ремень обуви Его;"
ru,RUS_SYNODAL,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.8,Mark 1:8,7,"я крестил вас водою, а Он будет крестить вас Духом Святым."
ru,RUS_SYNODAL,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.9,Mark 1:9,8,"И было в те дни, пришел Иисус из Назарета Галилейского и крестился от Иоанна в Иордане."
ru,RUS_SYNODAL,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.10,Mark 1:10,9,"И когда выходил из воды, тотчас увидел [Иоанн] разверзающиеся небеса и Духа, как голубя, сходящего на Него."
ru,RUS_SYNODAL,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.11,Mark 1:11,10,"И глас был с небес: Ты Сын Мой возлюбленный, в Котором Мое благоволение."
ru,RUS_SYNODAL,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.12,Mark 1:12,11,Немедленно после того Дух ведет Его в пустыню.
ru,RUS_SYNODAL,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.13,Mark 1:13,12,"И был Он там в пустыне сорок дней, искушаемый сатаною, и был со зверями; и Ангелы служили Ему."
ru,RUS_SYNODAL,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.14,Mark 1:14,13,"После же того, как предан был Иоанн, пришел Иисус в Галилею, проповедуя Евангелие Царствия Божия"
