languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.1,Luke 1:1,0,"Как уже многие начали составлять повествования о совершенно известных между нами событиях,"
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.2,Luke 1:2,1,"как передали нам то бывшие с самого начала очевидцами и служителями Слова,"
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.3,Luke 1:3,2,"то рассудилось и мне, по тщательном исследовании всего сначала, по порядку описать тебе, достопочтенный Феофил,"
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.4,Luke 1:4,3,"чтобы ты узнал твердое основание того учения, в котором был наставлен."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.5,Luke 1:5,4,"Во дни Ирода, царя Иудейского, был священник из Авиевой чреды, именем Захария, и жена его из рода Ааронова, имя ей Елисавета."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.6,Luke 1:6,5,"Оба они были праведны пред Богом, поступая по всем заповедям и уставам Господним беспорочно."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.7,Luke 1:7,6,"У них не было детей, ибо Елисавета была неплодна, и оба были уже в летах преклонных."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.8,Luke 1:8,7,"Однажды, когда он в порядке своей чреды служил пред Богом,"
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.9,Luke 1:9,8,"по жребию, как обыкновенно было у священников, досталось ему войти в храм Господень для каждения,"
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.10,Luke 1:10,9,"а все множество народа молилось вне во время каждения, –"
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.11,Luke 1:11,10,"тогда явился ему Ангел Господень, стоя по правую сторону жертвенника кадильного."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.12,Luke 1:12,11,"Захария, увидев его, смутился, и страх напал на него."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.13,Luke 1:13,12,"Ангел же сказал ему: не бойся, Захария, ибо услышана молитва твоя, и жена твоя Елисавета родит тебе сына, и наречешь ему имя: Иоанн;"
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.14,Luke 1:14,13,"и будет тебе радость и веселие, и многие о рождении его возрадуются,"
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.15,Luke 1:15,14,"ибо он будет велик пред Господом; не будет пить вина и сикера, и Духа Святаго исполнится еще от чрева матери своей;"
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.16,Luke 1:16,15,и многих из сынов Израилевых обратит к Господу Богу их;
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.17,Luke 1:17,16,"и предъидет пред Ним в духе и силе Илии, чтобы возвратить сердца отцов детям, и непокоривым образ мыслей праведников, дабы представить Господу народ приготовленный."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.18,Luke 1:18,17,"И сказал Захария Ангелу: по чему я узнаю это? ибо я стар, и жена моя в летах преклонных."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.19,Luke 1:19,18,"Ангел сказал ему в ответ: я Гавриил, предстоящий пред Богом, и послан говорить с тобою и благовестить тебе сие;"
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.20,Luke 1:20,19,"и вот, ты будешь молчать и не будешь иметь возможности говорить до того дня, как это сбудется, за то, что ты не поверил словам моим, которые сбудутся в свое время."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.21,Luke 1:21,20,"Между тем народ ожидал Захарию и дивился, что он медлит в храме."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.22,Luke 1:22,21,"Он же, выйдя, не мог говорить к ним; и они поняли, что он видел видение в храме; и он объяснялся с ними знаками, и оставался нем."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.23,Luke 1:23,22,"А когда окончились дни службы его, возвратился в дом свой."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.24,Luke 1:24,23,"После сих дней зачала Елисавета, жена его, и таилась пять месяцев и говорила:"
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.25,Luke 1:25,24,"так сотворил мне Господь во дни сии, в которые призрел на меня, чтобы снять с меня поношение между людьми."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.26,Luke 1:26,25,"В шестой же месяц послан был Ангел Гавриил от Бога в город Галилейский, называемый Назарет,"
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.27,Luke 1:27,26,"к Деве, обрученной мужу, именем Иосифу, из дома Давидова; имя же Деве: Мария."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.28,Luke 1:28,27,"Ангел, войдя к Ней, сказал: радуйся, Благодатная! Господь с Тобою; благословенна Ты между женами."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.29,Luke 1:29,28,"Она же, увидев его, смутилась от слов его и размышляла, что бы это было за приветствие."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.30,Luke 1:30,29,"И сказал Ей Ангел: не бойся, Мария, ибо Ты обрела благодать у Бога;"
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.31,Luke 1:31,30,"и вот, зачнешь во чреве, и родишь Сына, и наречешь Ему имя: Иисус."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.32,Luke 1:32,31,"Он будет велик и наречется Сыном Всевышнего, и даст Ему Господь Бог престол Давида, отца Его;"
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.33,Luke 1:33,32,"и будет царствовать над домом Иакова во веки, и Царству Его не будет конца."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.34,Luke 1:34,33,"Мария же сказала Ангелу: как будет это, когда Я мужа не знаю?"
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.35,Luke 1:35,34,"Ангел сказал Ей в ответ: Дух Святый найдет на Тебя, и сила Всевышнего осенит Тебя; посему и рождаемое Святое наречется Сыном Божиим."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.36,Luke 1:36,35,"Вот и Елисавета, родственница Твоя, называемая неплодною, и она зачала сына в старости своей, и ей уже шестой месяц,"
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.37,Luke 1:37,36,ибо у Бога не останется бессильным никакое слово.
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.38,Luke 1:38,37,"Тогда Мария сказала: се, Раба Господня; да будет Мне по слову твоему. И отошел от Нее Ангел."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.39,Luke 1:39,38,"Встав же Мария во дни сии, с поспешностью пошла в нагорную страну, в город Иудин,"
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.40,Luke 1:40,39,"и вошла в дом Захарии, и приветствовала Елисавету."
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.41,Luke 1:41,40,"Когда Елисавета услышала приветствие Марии, взыграл младенец во чреве ее; и Елисавета исполнилась Святаго Духа,"
ru,RUS_SYNODAL,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.42,Luke 1:42,41,"и воскликнула громким голосом, и сказала: благословенна Ты между женами, и благословен плод чрева Твоего!"
