languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.1,Rom 1:1,0,"Павел, раб Иисуса Христа, призванный Апостол, избранный к благовестию Божию,"
ru,RUS_SYNODAL,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.2,Rom 1:2,1,"которое Бог прежде обещал через пророков Своих, в святых писаниях,"
ru,RUS_SYNODAL,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.3,Rom 1:3,2,"о Сыне Своем, Который родился от семени Давидова по плоти"
ru,RUS_SYNODAL,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.4,Rom 1:4,3,"и открылся Сыном Божиим в силе, по духу святыни, через воскресение из мертвых, о Иисусе Христе Господе нашем,"
ru,RUS_SYNODAL,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.5,Rom 1:5,4,"через Которого мы получили благодать и апостольство, чтобы во имя Его покорять вере все народы,"
ru,RUS_SYNODAL,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.6,Rom 1:6,5,"между которыми находитесь и вы, призванные Иисусом Христом, –"
ru,RUS_SYNODAL,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.7,Rom 1:7,6,"всем находящимся в Риме возлюбленным Божиим, призванным святым: благодать вам и мир от Бога отца нашего и Господа Иисуса Христа."
ru,RUS_SYNODAL,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.8,Rom 1:8,7,"Прежде всего благодарю Бога моего через Иисуса Христа за всех вас, что вера ваша возвещается во всем мире."
ru,RUS_SYNODAL,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.9,Rom 1:9,8,"Свидетель мне Бог, Которому служу духом моим в благовествовании Сына Его, что непрестанно воспоминаю о вас,"
ru,RUS_SYNODAL,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.10,Rom 1:10,9,"всегда прося в молитвах моих, чтобы воля Божия когда–нибудь благопоспешила мне придти к вам,"
ru,RUS_SYNODAL,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.11,Rom 1:11,10,"ибо я весьма желаю увидеть вас, чтобы преподать вам некое дарование духовное к утверждению вашему,"
ru,RUS_SYNODAL,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.12,Rom 1:12,11,"то есть утешиться с вами верою общею, вашею и моею."
