languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.1,Gal 1:1,0,"Павел Апостол, [избранный] не человеками и не через человека, но Иисусом Христом и Богом Отцем, воскресившим Его из мертвых,"
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.2,Gal 1:2,1,и все находящиеся со мною братия – церквам Галатийским:
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.3,Gal 1:3,2,"благодать вам и мир от Бога Отца и Господа нашего Иисуса Христа,"
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.4,Gal 1:4,3,"Который отдал Себя Самого за грехи наши, чтобы избавить нас от настоящего лукавого века, по воле Бога и Отца нашего;"
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.5,Gal 1:5,4,Ему слава во веки веков. Аминь.
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.6,Gal 1:6,5,"Удивляюсь, что вы от призвавшего вас благодатью Христовою так скоро переходите к иному благовествованию,"
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.7,Gal 1:7,6,"которое [впрочем] не иное, а только есть люди, смущающие вас и желающие превратить благовествование Христово."
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.8,Gal 1:8,7,"Но если бы даже мы или Ангел с неба стал благовествовать вам не то, что мы благовествовали вам, да будет анафема."
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.9,Gal 1:9,8,"Как прежде мы сказали, [так] и теперь еще говорю: кто благовествует вам не то, что вы приняли, да будет анафема."
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.10,Gal 1:10,9,"У людей ли я ныне ищу благоволения, или у Бога? людям ли угождать стараюсь? Если бы я и поныне угождал людям, то не был бы рабом Христовым."
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.11,Gal 1:11,10,"Возвещаю вам, братия, что Евангелие, которое я благовествовал, не есть человеческое,"
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.12,Gal 1:12,11,"ибо и я принял его и научился не от человека, но через откровение Иисуса Христа."
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.13,Gal 1:13,12,"Вы слышали о моем прежнем образе жизни в Иудействе, что я жестоко гнал Церковь Божию, и опустошал ее,"
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.14,Gal 1:14,13,"и преуспевал в Иудействе более многих сверстников в роде моем, будучи неумеренным ревнителем отеческих моих преданий."
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.15,Gal 1:15,14,"Когда же Бог, избравший меня от утробы матери моей и призвавший благодатью Своею, благоволил"
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.16,Gal 1:16,15,"открыть во мне Сына Своего, чтобы я благовествовал Его язычникам, – я не стал тогда же советоваться с плотью и кровью,"
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.17,Gal 1:17,16,"и не пошел в Иерусалим к предшествовавшим мне Апостолам, а пошел в Аравию, и опять возвратился в Дамаск."
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.18,Gal 1:18,17,"Потом, спустя три года, ходил я в Иерусалим видеться с Петром и пробыл у него дней пятнадцать."
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.19,Gal 1:19,18,"Другого же из Апостолов я не видел [никого], кроме Иакова, брата Господня."
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.20,Gal 1:20,19,"А в том, что пишу вам, пред Богом, не лгу."
ru,RUS_SYNODAL,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.21,Gal 1:21,20,После сего отошел я в страны Сирии и Киликии.
