languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.1,Eph 1:1,0,"Павел, волею Божиею Апостол Иисуса Христа, находящимся в Ефесе святым и верным во Христе Иисусе:"
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.2,Eph 1:2,1,благодать вам и мир от Бога Отца нашего и Господа Иисуса Христа.
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.3,Eph 1:3,2,"Благословен Бог и Отец Господа нашего Иисуса Христа, благословивший нас во Христе всяким духовным благословением в небесах,"
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.4,Eph 1:4,3,"так как Он избрал нас в Нем прежде создания мира, чтобы мы были святы и непорочны пред Ним в любви,"
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.5,Eph 1:5,4,"предопределив усыновить нас Себе чрез Иисуса Христа, по благоволению воли Своей,"
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.6,Eph 1:6,5,"в похвалу славы благодати Своей, которою Он облагодатствовал нас в Возлюбленном,"
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.7,Eph 1:7,6,"в Котором мы имеем искупление Кровию Его, прощение грехов, по богатству благодати Его,"
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.8,Eph 1:8,7,"каковую Он в преизбытке даровал нам во всякой премудрости и разумении,"
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.9,Eph 1:9,8,"открыв нам тайну Своей воли по Своему благоволению, которое Он прежде положил в Нем,"
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.10,Eph 1:10,9,"в устроении полноты времен, дабы все небесное и земное соединить под главою Христом."
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.11,Eph 1:11,10,"В Нем мы и сделались наследниками, быв предназначены [к тому] по определению Совершающего все по изволению воли Своей,"
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.12,Eph 1:12,11,"дабы послужить к похвале славы Его нам, которые ранее уповали на Христа."
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.13,Eph 1:13,12,"В Нем и вы, услышав слово истины, благовествование вашего спасения, и уверовав в Него, запечатлены обетованным Святым Духом,"
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.14,Eph 1:14,13,"Который есть залог наследия нашего, для искупления удела [Его], в похвалу славы Его."
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.15,Eph 1:15,14,"Посему и я, услышав о вашей вере во Христа Иисуса и о любви ко всем святым,"
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.16,Eph 1:16,15,"непрестанно благодарю за вас [Бога], вспоминая о вас в молитвах моих,"
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.17,Eph 1:17,16,"чтобы Бог Господа нашего Иисуса Христа, Отец славы, дал вам Духа премудрости и откровения к познанию Его,"
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.18,Eph 1:18,17,"и просветил очи сердца вашего, дабы вы познали, в чем состоит надежда призвания Его, и какое богатство славного наследия Его для святых,"
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.19,Eph 1:19,18,"и как безмерно величие могущества Его в нас, верующих по действию державной силы Его,"
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.20,Eph 1:20,19,"которою Он воздействовал во Христе, воскресив Его из мертвых и посадив одесную Себя на небесах,"
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.21,Eph 1:21,20,"превыше всякого Начальства, и Власти, и Силы, и Господства, и всякого имени, именуемого не только в сем веке, но и в будущем,"
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.22,Eph 1:22,21,"и все покорил под ноги Его, и поставил Его выше всего, главою Церкви,"
ru,RUS_SYNODAL,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.23,Eph 1:23,22,"которая есть Тело Его, полнота Наполняющего все во всем."
