languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Col,Col,50,Col.1,Col 1,0,Col.1.1,Col 1:1,0,"Павел, волею Божиею Апостол Иисуса Христа, и Тимофей брат,"
ru,RUS_SYNODAL,Col,Col,50,Col.1,Col 1,0,Col.1.2,Col 1:2,1,находящимся в Колоссах святым и верным братиям во Христе Иисусе:
ru,RUS_SYNODAL,Col,Col,50,Col.1,Col 1,0,Col.1.3,Col 1:3,2,"благодать вам и мир от Бога Отца нашего и Господа Иисуса Христа. Благодарим Бога и Отца Господа нашего Иисуса Христа, всегда молясь о вас,"
ru,RUS_SYNODAL,Col,Col,50,Col.1,Col 1,0,Col.1.4,Col 1:4,3,"услышав о вере вашей во Христа Иисуса и о любви ко всем святым,"
ru,RUS_SYNODAL,Col,Col,50,Col.1,Col 1,0,Col.1.5,Col 1:5,4,"в надежде на уготованное вам на небесах, о чем вы прежде слышали в истинном слове благовествования,"
ru,RUS_SYNODAL,Col,Col,50,Col.1,Col 1,0,Col.1.6,Col 1:6,5,"которое пребывает у вас, как и во всем мире, и приносит плод, и возрастает, как и между вами, с того дня, как вы услышали и познали благодать Божию в истине,"
ru,RUS_SYNODAL,Col,Col,50,Col.1,Col 1,0,Col.1.7,Col 1:7,6,"как и научились от Епафраса, возлюбленного сотрудника нашего, верного для вас служителя Христова,"
ru,RUS_SYNODAL,Col,Col,50,Col.1,Col 1,0,Col.1.8,Col 1:8,7,который и известил нас о вашей любви в духе.
ru,RUS_SYNODAL,Col,Col,50,Col.1,Col 1,0,Col.1.9,Col 1:9,8,"Посему и мы с того дня, как [о сем] услышали, не перестаем молиться о вас и просить, чтобы вы исполнялись познанием воли Его, во всякой премудрости и разумении духовном,"
ru,RUS_SYNODAL,Col,Col,50,Col.1,Col 1,0,Col.1.10,Col 1:10,9,"чтобы поступали достойно Бога, во всем угождая [Ему], принося плод во всяком деле благом и возрастая в познании Бога,"
ru,RUS_SYNODAL,Col,Col,50,Col.1,Col 1,0,Col.1.11,Col 1:11,10,"укрепляясь всякою силою по могуществу славы Его, во всяком терпении и великодушии с радостью,"
ru,RUS_SYNODAL,Col,Col,50,Col.1,Col 1,0,Col.1.12,Col 1:12,11,"благодаря Бога и Отца, призвавшего нас к участию в наследии святых во свете,"
ru,RUS_SYNODAL,Col,Col,50,Col.1,Col 1,0,Col.1.13,Col 1:13,12,"избавившего нас от власти тьмы и введшего в Царство возлюбленного Сына Своего,"
ru,RUS_SYNODAL,Col,Col,50,Col.1,Col 1,0,Col.1.14,Col 1:14,13,"в Котором мы имеем искупление Кровию Его и прощение грехов,"
ru,RUS_SYNODAL,Col,Col,50,Col.1,Col 1,0,Col.1.15,Col 1:15,14,"Который есть образ Бога невидимого, рожденный прежде всякой твари;"
ru,RUS_SYNODAL,Col,Col,50,Col.1,Col 1,0,Col.1.16,Col 1:16,15,"ибо Им создано все, что на небесах и что на земле, видимое и невидимое: престолы ли, господства ли, начальства ли, власти ли, – все Им и для Него создано;"
ru,RUS_SYNODAL,Col,Col,50,Col.1,Col 1,0,Col.1.17,Col 1:17,16,"и Он есть прежде всего, и все Им стоит."
ru,RUS_SYNODAL,Col,Col,50,Col.1,Col 1,0,Col.1.18,Col 1:18,17,"И Он есть глава тела Церкви; Он – начаток, первенец из мертвых, дабы иметь Ему во всем первенство,"
ru,RUS_SYNODAL,Col,Col,50,Col.1,Col 1,0,Col.1.19,Col 1:19,18,"ибо благоугодно было [Отцу], чтобы в Нем обитала всякая полнота,"
