languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.1,2Tim 1:1,0,"Павел, волею Божиею Апостол Иисуса Христа, по обетованию жизни во Христе Иисусе,"
ru,RUS_SYNODAL,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.2,2Tim 1:2,1,"Тимофею, возлюбленному сыну: благодать, милость, мир от Бога Отца и Христа Иисуса, Господа нашего."
ru,RUS_SYNODAL,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.3,2Tim 1:3,2,"Благодарю Бога, Которому служу от прародителей с чистою совестью, что непрестанно вспоминаю о тебе в молитвах моих днем и ночью,"
ru,RUS_SYNODAL,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.4,2Tim 1:4,3,"и желаю видеть тебя, вспоминая о слезах твоих, дабы мне исполниться радости,"
ru,RUS_SYNODAL,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.5,2Tim 1:5,4,"приводя на память нелицемерную веру твою, которая прежде обитала в бабке твоей Лоиде и матери твоей Евнике; уверен, что она и в тебе."
ru,RUS_SYNODAL,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.6,2Tim 1:6,5,"По сей причине напоминаю тебе возгревать дар Божий, который в тебе через мое рукоположение;"
ru,RUS_SYNODAL,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.7,2Tim 1:7,6,"ибо дал нам Бог духа не боязни, но силы и любви и целомудрия."
ru,RUS_SYNODAL,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.8,2Tim 1:8,7,"Итак, не стыдись свидетельства Господа нашего Иисуса Христа, ни меня, узника Его; но страдай с благовестием Христовым силою Бога,"
ru,RUS_SYNODAL,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.9,2Tim 1:9,8,"спасшего нас и призвавшего званием святым, не по делам нашим, но по Своему изволению и благодати, данной нам во Христе Иисусе прежде вековых времен,"
ru,RUS_SYNODAL,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.10,2Tim 1:10,9,"открывшейся же ныне явлением Спасителя нашего Иисуса Христа, разрушившего смерть и явившего жизнь и нетление через благовестие,"
ru,RUS_SYNODAL,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.11,2Tim 1:11,10,для которого я поставлен проповедником и Апостолом и учителем язычников.
