languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.1,Titus 1:1,0,"Павел, раб Божий, Апостол же Иисуса Христа, по вере избранных Божиих и познанию истины, [относящейся] к благочестию,"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.2,Titus 1:2,1,"в надежде вечной жизни, которую обещал неизменный в слове Бог прежде вековых времен,"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.3,Titus 1:3,2,"а в свое время явил Свое слово в проповеди, вверенной мне по повелению Спасителя нашего, Бога, –"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.4,Titus 1:4,3,"Титу, истинному сыну по общей вере: благодать, милость и мир от Бога Отца и Господа Иисуса Христа, Спасителя нашего."
ru,RUS_SYNODAL,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.5,Titus 1:5,4,"Для того я оставил тебя в Крите, чтобы ты довершил недоконченное и поставил по всем городам пресвитеров, как я тебе приказывал:"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.6,Titus 1:6,5,"если кто непорочен, муж одной жены, детей имеет верных, не укоряемых в распутстве или непокорности."
ru,RUS_SYNODAL,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.7,Titus 1:7,6,"Ибо епископ должен быть непорочен, как Божий домостроитель, не дерзок, не гневлив, не пьяница, не бийца, не корыстолюбец,"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.8,Titus 1:8,7,"но страннолюбив, любящий добро, целомудрен, справедлив, благочестив, воздержан,"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.9,Titus 1:9,8,"держащийся истинного слова, согласного с учением, чтобы он был силен и наставлять в здравом учении и противящихся обличать."
ru,RUS_SYNODAL,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.10,Titus 1:10,9,"Ибо есть много и непокорных, пустословов и обманщиков, особенно из обрезанных,"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.11,Titus 1:11,10,"каковым должно заграждать уста: они развращают целые домы, уча, чему не должно, из постыдной корысти."
ru,RUS_SYNODAL,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.12,Titus 1:12,11,"Из них же самих один стихотворец сказал: ""Критяне всегда лжецы, злые звери, утробы ленивые""."
ru,RUS_SYNODAL,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.13,Titus 1:13,12,"Свидетельство это справедливо. По сей причине обличай их строго, дабы они были здравы в вере,"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.14,Titus 1:14,13,"не внимая Иудейским басням и постановлениям людей, отвращающихся от истины."
ru,RUS_SYNODAL,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.15,Titus 1:15,14,"Для чистых все чисто; а для оскверненных и неверных нет ничего чистого, но осквернены и ум их и совесть."
ru,RUS_SYNODAL,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.16,Titus 1:16,15,"Они говорят, что знают Бога, а делами отрекаются, будучи гнусны и непокорны и не способны ни к какому доброму делу."
ru,RUS_SYNODAL,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.1,Titus 2:1,0,"Ты же говори то, что сообразно с здравым учением:"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.2,Titus 2:2,1,"чтобы старцы были бдительны, степенны, целомудренны, здравы в вере, в любви, в терпении;"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.3,Titus 2:3,2,"чтобы старицы также одевались прилично святым, не были клеветницы, не порабощались пьянству, учили добру;"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.4,Titus 2:4,3,"чтобы вразумляли молодых любить мужей, любить детей,"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.5,Titus 2:5,4,"быть целомудренными, чистыми, попечительными о доме, добрыми, покорными своим мужьям, да не порицается слово Божие."
ru,RUS_SYNODAL,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.6,Titus 2:6,5,Юношей также увещевай быть целомудренными.
ru,RUS_SYNODAL,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.7,Titus 2:7,6,"Во всем показывай в себе образец добрых дел, в учительстве чистоту, степенность, неповрежденность,"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.8,Titus 2:8,7,"слово здравое, неукоризненное, чтобы противник был посрамлен, не имея ничего сказать о нас худого."
ru,RUS_SYNODAL,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.9,Titus 2:9,8,"Рабов [увещевай] повиноваться своим господам, угождать им во всем, не прекословить,"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.10,Titus 2:10,9,"не красть, но оказывать всю добрую верность, дабы они во всем были украшением учению Спасителя нашего, Бога."
ru,RUS_SYNODAL,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.11,Titus 2:11,10,"Ибо явилась благодать Божия, спасительная для всех человеков,"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.12,Titus 2:12,11,"научающая нас, чтобы мы, отвергнув нечестие и мирские похоти, целомудренно, праведно и благочестиво жили в нынешнем веке,"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.13,Titus 2:13,12,"ожидая блаженного упования и явления славы великого Бога и Спасителя нашего Иисуса Христа,"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.14,Titus 2:14,13,"Который дал Себя за нас, чтобы избавить нас от всякого беззакония и очистить Себе народ особенный, ревностный к добрым делам."
ru,RUS_SYNODAL,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.15,Titus 2:15,14,"Сие говори, увещевай и обличай со всякою властью, чтобы никто не пренебрегал тебя."
ru,RUS_SYNODAL,Titus,Titus,55,Titus.3,Titus 3,2,Titus.3.1,Titus 3:1,0,"Напоминай им повиноваться и покоряться начальству и властям, быть готовыми на всякое доброе дело,"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.3,Titus 3,2,Titus.3.2,Titus 3:2,1,"никого не злословить, быть не сварливыми, но тихими, и оказывать всякую кротость ко всем человекам."
ru,RUS_SYNODAL,Titus,Titus,55,Titus.3,Titus 3,2,Titus.3.3,Titus 3:3,2,"Ибо и мы были некогда несмысленны, непокорны, заблуждшие, были рабы похотей и различных удовольствий, жили в злобе и зависти, были гнусны, ненавидели друг друга."
ru,RUS_SYNODAL,Titus,Titus,55,Titus.3,Titus 3,2,Titus.3.4,Titus 3:4,3,"Когда же явилась благодать и человеколюбие Спасителя нашего, Бога,"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.3,Titus 3,2,Titus.3.5,Titus 3:5,4,"Он спас нас не по делам праведности, которые бы мы сотворили, а по Своей милости, банею возрождения и обновления Святым Духом,"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.3,Titus 3,2,Titus.3.6,Titus 3:6,5,"Которого излил на нас обильно через Иисуса Христа, Спасителя нашего,"
ru,RUS_SYNODAL,Titus,Titus,55,Titus.3,Titus 3,2,Titus.3.7,Titus 3:7,6,"чтобы, оправдавшись Его благодатью, мы по упованию соделались наследниками вечной жизни."
