languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.1,Phlm 1:1,0,"Павел, узник Иисуса Христа, и Тимофей брат, Филимону возлюбленному и сотруднику нашему,"
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.2,Phlm 1:2,1,"и Апфии, (сестре) возлюбленной, и Архиппу, сподвижнику нашему, и домашней твоей церкви:"
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.3,Phlm 1:3,2,благодать вам и мир от Бога Отца нашего и Господа Иисуса Христа.
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.4,Phlm 1:4,3,"Благодарю Бога моего, всегда вспоминая о тебе в молитвах моих,"
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.5,Phlm 1:5,4,"слыша о твоей любви и вере, которую имеешь к Господу Иисусу и ко всем святым,"
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.6,Phlm 1:6,5,дабы общение веры твоей оказалось деятельным в познании всякого у вас добра во Христе Иисусе.
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.7,Phlm 1:7,6,"Ибо мы имеем великую радость и утешение в любви твоей, потому что тобою, брат, успокоены сердца святых."
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.8,Phlm 1:8,7,"Посему, имея великое во Христе дерзновение приказывать тебе, что должно,"
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.9,Phlm 1:9,8,"по любви лучше прошу, не иной кто, как я, Павел старец, а теперь и узник Иисуса Христа;"
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.10,Phlm 1:10,9,"прошу тебя о сыне моем Онисиме, которого родил я в узах моих:"
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.11,Phlm 1:11,10,"он был некогда негоден для тебя, а теперь годен тебе и мне; я возвращаю его;"
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.12,Phlm 1:12,11,"ты же прими его, как мое сердце."
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.13,Phlm 1:13,12,"Я хотел при себе удержать его, дабы он вместо тебя послужил мне в узах [за] благовествование;"
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.14,Phlm 1:14,13,"но без твоего согласия ничего не хотел сделать, чтобы доброе дело твое было не вынужденно, а добровольно."
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.15,Phlm 1:15,14,"Ибо, может быть, он для того на время отлучился, чтобы тебе принять его навсегда,"
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.16,Phlm 1:16,15,"не как уже раба, но выше раба, брата возлюбленного, особенно мне, а тем больше тебе, и по плоти и в Господе."
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.17,Phlm 1:17,16,"Итак, если ты имеешь общение со мною, то прими его, как меня."
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.18,Phlm 1:18,17,"Если же он чем обидел тебя, или должен, считай это на мне."
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.19,Phlm 1:19,18,"Я, Павел, написал моею рукою: я заплачу; не говорю тебе о том, что ты и самим собою мне должен."
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.20,Phlm 1:20,19,"Так, брат, дай мне воспользоваться от тебя в Господе; успокой мое сердце в Господе."
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.21,Phlm 1:21,20,"Надеясь на послушание твое, я написал к тебе, зная, что ты сделаешь и более, нежели говорю."
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.22,Phlm 1:22,21,"А вместе приготовь для меня и помещение; ибо надеюсь, что по молитвам вашим я буду дарован вам."
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.23,Phlm 1:23,22,"Приветствует тебя Епафрас, узник вместе со мною ради Христа Иисуса,"
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.24,Phlm 1:24,23,"Марк, Аристарх, Димас, Лука, сотрудники мои."
ru,RUS_SYNODAL,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.25,Phlm 1:25,24,Благодать Господа нашего Иисуса Христа со духом вашим. Аминь.
