languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.1,Jude 1:1,0,"Иуда, раб Иисуса Христа, брат Иакова, призванным, которые освящены Богом Отцем и сохранены Иисусом Христом:"
ru,RUS_SYNODAL,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.2,Jude 1:2,1,милость вам и мир и любовь да умножатся.
ru,RUS_SYNODAL,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.3,Jude 1:3,2,"Возлюбленные! имея все усердие писать вам об общем спасении, я почел за нужное написать вам увещание – подвизаться за веру, однажды преданную святым."
ru,RUS_SYNODAL,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.4,Jude 1:4,3,"Ибо вкрались некоторые люди, издревле предназначенные к сему осуждению, нечестивые, обращающие благодать Бога нашего в [повод к] распутству и отвергающиеся единого Владыки Бога и Господа нашего Иисуса Христа."
ru,RUS_SYNODAL,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.5,Jude 1:5,4,"Я хочу напомнить вам, уже знающим это, что Господь, избавив народ из земли Египетской, потом неверовавших погубил,"
ru,RUS_SYNODAL,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.6,Jude 1:6,5,"и ангелов, не сохранивших своего достоинства, но оставивших свое жилище, соблюдает в вечных узах, под мраком, на суд великого дня."
ru,RUS_SYNODAL,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.7,Jude 1:7,6,"Как Содом и Гоморра и окрестные города, подобно им блудодействовавшие и ходившие за иною плотию, подвергшись казни огня вечного, поставлены в пример, –"
ru,RUS_SYNODAL,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.8,Jude 1:8,7,"так точно будет и с сими мечтателями, которые оскверняют плоть, отвергают начальства и злословят высокие власти."
ru,RUS_SYNODAL,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.9,Jude 1:9,8,"Михаил Архангел, когда говорил с диаволом, споря о Моисеевом теле, не смел произнести укоризненного суда, но сказал: ""да запретит тебе Господь""."
ru,RUS_SYNODAL,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.10,Jude 1:10,9,"А сии злословят то, чего не знают; что же по природе, как бессловесные животные, знают, тем растлевают себя."
