languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
la,VULGATA,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.1,1Chr 1:1,0,Adam Seth Enos
la,VULGATA,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.2,1Chr 1:2,1,Cainan Malelehel Iared
la,VULGATA,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.3,1Chr 1:3,2,Enoch Matusale Lamech
la,VULGATA,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.4,1Chr 1:4,3,Noe Sem Ham et Iafeth
la,VULGATA,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.5,1Chr 1:5,4,filii Iafeth Gomer Magog Madai et Iavan Thubal Mosoch Thiras
la,VULGATA,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.6,1Chr 1:6,5,porro filii Gomer Aschenez et Rifath et Thogorma
la,VULGATA,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.7,1Chr 1:7,6,filii autem Iavan Elisa et Tharsis Cetthim et Dodanim
la,VULGATA,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.8,1Chr 1:8,7,filii Ham Chus et Mesraim Phut et Chanaan
la,VULGATA,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.9,1Chr 1:9,8,filii autem Chus Saba et Evila Sabatha et Rechma et Sabathaca porro filii Rechma Saba et Dadan
la,VULGATA,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.10,1Chr 1:10,9,Chus autem genuit Nemrod iste coepit esse potens in terra
la,VULGATA,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.11,1Chr 1:11,10,Mesraim vero genuit Ludim et Anamim et Laabim et Nepthuim
la,VULGATA,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.12,1Chr 1:12,11,Phethrosim quoque et Chasluim de quibus egressi sunt Philisthim et Capthurim
la,VULGATA,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.13,1Chr 1:13,12,Chanaan vero genuit Sidonem primogenitum et Heth
la,VULGATA,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.14,1Chr 1:14,13,Iebuseum quoque et Amorreum et Gergeseum
la,VULGATA,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.15,1Chr 1:15,14,Evheumque et Aruceum et Asineum
la,VULGATA,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.16,1Chr 1:16,15,Aradium quoque et Samareum et Ematheum
la,VULGATA,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.17,1Chr 1:17,16,filii Sem Aelam et Assur et Arfaxad et Lud et Aram et Us et Hul et Gothor et Mosoch
la,VULGATA,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.18,1Chr 1:18,17,Arfaxad autem genuit Sala qui et ipse genuit Heber
la,VULGATA,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.19,1Chr 1:19,18,porro Heber nati sunt duo filii nomen uni Phaleg quia in diebus eius divisa est terra et nomen fratris eius Iectan
