languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
la,VULGATA,Eccl,Eccl,20,Eccl.1,Eccl 1,0,Eccl.1.1,Eccl 1:1,0,verba Ecclesiastes filii David regis Hierusalem
la,VULGATA,Eccl,Eccl,20,Eccl.1,Eccl 1,0,Eccl.1.2,Eccl 1:2,1,vanitas vanitatum dixit Ecclesiastes vanitas vanitatum omnia vanitas
la,VULGATA,Eccl,Eccl,20,Eccl.1,Eccl 1,0,Eccl.1.3,Eccl 1:3,2,quid habet amplius homo de universo labore suo quod laborat sub sole
la,VULGATA,Eccl,Eccl,20,Eccl.1,Eccl 1,0,Eccl.1.4,Eccl 1:4,3,generatio praeterit et generatio advenit terra vero in aeternum stat
la,VULGATA,Eccl,Eccl,20,Eccl.1,Eccl 1,0,Eccl.1.5,Eccl 1:5,4,oritur sol et occidit et ad locum suum revertitur ibique renascens
la,VULGATA,Eccl,Eccl,20,Eccl.1,Eccl 1,0,Eccl.1.6,Eccl 1:6,5,gyrat per meridiem et flectitur ad aquilonem lustrans universa circuitu pergit spiritus et in circulos suos regreditur
la,VULGATA,Eccl,Eccl,20,Eccl.1,Eccl 1,0,Eccl.1.7,Eccl 1:7,6,omnia flumina intrant mare et mare non redundat ad locum unde exeunt flumina revertuntur ut iterum fluant
la,VULGATA,Eccl,Eccl,20,Eccl.1,Eccl 1,0,Eccl.1.8,Eccl 1:8,7,cunctae res difficiles non potest eas homo explicare sermone non saturatur oculus visu nec auris impletur auditu
la,VULGATA,Eccl,Eccl,20,Eccl.1,Eccl 1,0,Eccl.1.9,Eccl 1:9,8,quid est quod fuit ipsum quod futurum est quid est quod factum est ipsum quod fiendum est
la,VULGATA,Eccl,Eccl,20,Eccl.1,Eccl 1,0,Eccl.1.10,Eccl 1:10,9,nihil sub sole novum nec valet quisquam dicere ecce hoc recens est iam enim praecessit in saeculis quae fuerunt ante nos
la,VULGATA,Eccl,Eccl,20,Eccl.1,Eccl 1,0,Eccl.1.11,Eccl 1:11,10,non est priorum memoria sed nec eorum quidem quae postea futura sunt erit recordatio apud eos qui futuri sunt in novissimo
la,VULGATA,Eccl,Eccl,20,Eccl.1,Eccl 1,0,Eccl.1.12,Eccl 1:12,11,ego Ecclesiastes fui rex Israhel in Hierusalem
la,VULGATA,Eccl,Eccl,20,Eccl.1,Eccl 1,0,Eccl.1.13,Eccl 1:13,12,et proposui in animo meo quaerere et investigare sapienter de omnibus quae fiunt sub sole hanc occupationem pessimam dedit Deus filiis hominum ut occuparentur in ea
la,VULGATA,Eccl,Eccl,20,Eccl.1,Eccl 1,0,Eccl.1.14,Eccl 1:14,13,vidi quae fiunt cuncta sub sole et ecce universa vanitas et adflictio spiritus
la,VULGATA,Eccl,Eccl,20,Eccl.1,Eccl 1,0,Eccl.1.15,Eccl 1:15,14,perversi difficile corriguntur et stultorum infinitus est numerus
la,VULGATA,Eccl,Eccl,20,Eccl.1,Eccl 1,0,Eccl.1.16,Eccl 1:16,15,locutus sum in corde meo dicens ecce magnus effectus sum et praecessi sapientia omnes qui fuerunt ante me in Hierusalem et mens mea contemplata est multa sapienter et didicit
la,VULGATA,Eccl,Eccl,20,Eccl.1,Eccl 1,0,Eccl.1.17,Eccl 1:17,16,dedique cor meum ut scirem prudentiam atque doctrinam erroresque et stultitiam et agnovi quod in his quoque esset labor et adflictio spiritus
la,VULGATA,Eccl,Eccl,20,Eccl.1,Eccl 1,0,Eccl.1.18,Eccl 1:18,17,eo quod in multa sapientia multa sit indignatio et qui addit scientiam addat et laborem
la,VULGATA,Eccl,Eccl,20,Eccl.2,Eccl 2,1,Eccl.2.1,Eccl 2:1,0,dixi ego in corde meo vadam et affluam deliciis et fruar bonis et vidi quod hoc quoque esset vanitas
la,VULGATA,Eccl,Eccl,20,Eccl.2,Eccl 2,1,Eccl.2.2,Eccl 2:2,1,risum reputavi errorem et gaudio dixi quid frustra deciperis
la,VULGATA,Eccl,Eccl,20,Eccl.2,Eccl 2,1,Eccl.2.3,Eccl 2:3,2,cogitavi in corde meo abstrahere a vino carnem meam ut animum meum transferrem ad sapientiam devitaremque stultitiam donec viderem quid esset utile filiis hominum quod facto opus est sub sole numero dierum vitae suae
la,VULGATA,Eccl,Eccl,20,Eccl.2,Eccl 2,1,Eccl.2.4,Eccl 2:4,3,magnificavi opera mea aedificavi mihi domos plantavi vineas
la,VULGATA,Eccl,Eccl,20,Eccl.2,Eccl 2,1,Eccl.2.5,Eccl 2:5,4,feci hortos et pomeria et consevi ea cuncti generis arboribus
la,VULGATA,Eccl,Eccl,20,Eccl.2,Eccl 2,1,Eccl.2.6,Eccl 2:6,5,extruxi mihi piscinas aquarum ut inrigarem silvam lignorum germinantium
la,VULGATA,Eccl,Eccl,20,Eccl.2,Eccl 2,1,Eccl.2.7,Eccl 2:7,6,possedi servos et ancillas multamque familiam habui armenta quoque et magnos ovium greges ultra omnes qui fuerunt ante me in Hierusalem
la,VULGATA,Eccl,Eccl,20,Eccl.2,Eccl 2,1,Eccl.2.8,Eccl 2:8,7,coacervavi mihi argentum et aurum et substantias regum ac provinciarum feci mihi cantores et cantrices et delicias filiorum hominum scyphos et urceos in ministerio ad vina fundenda
la,VULGATA,Eccl,Eccl,20,Eccl.2,Eccl 2,1,Eccl.2.9,Eccl 2:9,8,et supergressus sum opibus omnes qui fuerunt ante me in Hierusalem sapientia quoque perseveravit mecum
la,VULGATA,Eccl,Eccl,20,Eccl.2,Eccl 2,1,Eccl.2.10,Eccl 2:10,9,et omnia quae desideraverunt oculi mei non negavi eis nec prohibui cor quin omni voluptate frueretur et oblectaret se in his quae paraveram et hanc ratus sum partem meam si uterer labore meo
la,VULGATA,Eccl,Eccl,20,Eccl.2,Eccl 2,1,Eccl.2.11,Eccl 2:11,10,cumque me convertissem ad universa opera quae fecerant manus meae et ad labores in quibus frustra sudaveram vidi in omnibus vanitatem et adflictionem animi et nihil permanere sub sole
la,VULGATA,Eccl,Eccl,20,Eccl.2,Eccl 2,1,Eccl.2.12,Eccl 2:12,11,transivi ad contemplandam sapientiam erroresque et stultitiam quid est inquam homo ut sequi possit regem factorem suum
la,VULGATA,Eccl,Eccl,20,Eccl.2,Eccl 2,1,Eccl.2.13,Eccl 2:13,12,et vidi quia tantum praecederet sapientia stultitiam quantum differt lux tenebris
la,VULGATA,Eccl,Eccl,20,Eccl.2,Eccl 2,1,Eccl.2.14,Eccl 2:14,13,sapientis oculi in capite eius stultus in tenebris ambulat et didici quod unus utriusque esset interitus
la,VULGATA,Eccl,Eccl,20,Eccl.2,Eccl 2,1,Eccl.2.15,Eccl 2:15,14,et dixi in corde meo si unus et stulti et meus occasus erit quid mihi prodest quod maiorem sapientiae dedi operam locutusque cum mente mea animadverti quod hoc quoque esset vanitas
la,VULGATA,Eccl,Eccl,20,Eccl.2,Eccl 2,1,Eccl.2.16,Eccl 2:16,15,non enim erit memoria sapientis similiter ut stulti in perpetuum et futura tempora oblivione cuncta pariter obruent moritur doctus similiter et indoctus
la,VULGATA,Eccl,Eccl,20,Eccl.2,Eccl 2,1,Eccl.2.17,Eccl 2:17,16,et idcirco taeduit me vitae meae videntem mala esse universa sub sole et cuncta vanitatem atque adflictionem spiritus
la,VULGATA,Eccl,Eccl,20,Eccl.2,Eccl 2,1,Eccl.2.18,Eccl 2:18,17,rursum detestatus sum omnem industriam meam quae sub sole studiosissime laboravi habiturus heredem post me
la,VULGATA,Eccl,Eccl,20,Eccl.2,Eccl 2,1,Eccl.2.19,Eccl 2:19,18,quem ignoro utrum sapiens an stultus futurus sit et dominabitur in laboribus meis quibus desudavi et sollicitus fui et est quicquam tam vanum
