languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
la,VULGATA,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.1,Nah 1:1,0,onus Nineve liber visionis Naum Helcesei
la,VULGATA,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.2,Nah 1:2,1,Deus aemulator et ulciscens Dominus ulciscens Dominus et habens furorem ulciscens Dominus in hostes suos et irascens ipse inimicis suis
la,VULGATA,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.3,Nah 1:3,2,Dominus patiens et magnus fortitudine et mundans non faciet innocentem Dominus in tempestate et turbine viae eius et nebulae pulvis pedum eius
la,VULGATA,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.4,Nah 1:4,3,increpans mare et exsiccans illud et omnia flumina ad desertum deducens infirmatus est Basan et Carmelus et flos Libani elanguit
la,VULGATA,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.5,Nah 1:5,4,montes commoti sunt ab eo et colles adsolati sunt et contremuit terra a facie eius et orbis et omnes habitantes in eo
la,VULGATA,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.6,Nah 1:6,5,ante faciem indignationis eius quis stabit et quis resistet in ira furoris eius indignatio eius effusa est ut ignis et petrae dissolutae sunt ab eo
la,VULGATA,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.7,Nah 1:7,6,bonus Dominus et confortans in die tribulationis et sciens sperantes in se
la,VULGATA,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.8,Nah 1:8,7,et in diluvio praetereunte consummationem faciet loci eius et inimicos eius persequentur tenebrae
la,VULGATA,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.9,Nah 1:9,8,quid cogitatis contra Dominum consummationem ipse faciet non consurget duplex tribulatio
la,VULGATA,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.10,Nah 1:10,9,quia sicut spinae se invicem conplectuntur sic convivium eorum pariter potantium consumentur quasi stipula ariditate plena
la,VULGATA,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.11,Nah 1:11,10,ex te exivit cogitans contra Dominum malitiam mente pertractans praevaricationem
la,VULGATA,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.12,Nah 1:12,11,haec dicit Dominus si perfecti fuerint et ita plures sic quoque adtondentur et pertransibit adflixi te et non adfligam te ultra
la,VULGATA,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.13,Nah 1:13,12,et nunc conteram virgam eius de dorso tuo et vincula tua disrumpam
la,VULGATA,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.14,Nah 1:14,13,et praecipiet super te Dominus non seminabitur ex nomine tuo amplius de domo Dei tui interficiam sculptile et conflatile ponam sepulchrum tuum quia inhonoratus es
la,VULGATA,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.15,Nah 1:15,14,ecce super montes pedes evangelizantis et adnuntiantis pacem celebra Iuda festivitates tuas et redde vota tua quia non adiciet ultra ut pertranseat in te Belial universus interiit
la,VULGATA,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.1,Nah 2:1,0,ascendit qui dispergat coram te qui custodit obsidionem contemplare viam conforta lumbos robora virtutem valde
la,VULGATA,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.2,Nah 2:2,1,quia reddidit Dominus superbiam Iacob sicut superbiam Israhel quia vastatores dissipaverunt eos et propagines eorum corruperunt
la,VULGATA,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.3,Nah 2:3,2,clypeus fortium eius ignitus viri exercitus in coccineis igneae habenae currus in die praeparationis eius et agitatores consopiti sunt
la,VULGATA,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.4,Nah 2:4,3,in itineribus conturbati sunt quadrigae conlisae sunt in plateis aspectus eorum quasi lampades quasi fulgura discurrentia
la,VULGATA,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.5,Nah 2:5,4,recordabitur fortium suorum ruent in itineribus suis velociter ascendent muros eius et praeparabitur umbraculum
la,VULGATA,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.6,Nah 2:6,5,portae fluviorum apertae sunt et templum ad solum dirutum
la,VULGATA,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.7,Nah 2:7,6,et miles captivus abductus est et ancillae eius minabantur gementes ut columbae murmurantes in cordibus suis
la,VULGATA,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.8,Nah 2:8,7,et Nineve quasi piscina aquarum aquae eius ipsi vero fugerunt state state et non est qui revertatur
