languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
la,VULGATA,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.1,Matt 1:1,0,liber generationis Iesu Christi filii David filii Abraham
la,VULGATA,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.2,Matt 1:2,1,Abraham genuit Isaac Isaac autem genuit Iacob Iacob autem genuit Iudam et fratres eius
la,VULGATA,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.3,Matt 1:3,2,Iudas autem genuit Phares et Zara de Thamar Phares autem genuit Esrom Esrom autem genuit Aram
la,VULGATA,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.4,Matt 1:4,3,Aram autem genuit Aminadab Aminadab autem genuit Naasson Naasson autem genuit Salmon
la,VULGATA,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.5,Matt 1:5,4,Salmon autem genuit Booz de Rachab Booz autem genuit Obed ex Ruth Obed autem genuit Iesse Iesse autem genuit David regem
la,VULGATA,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.6,Matt 1:6,5,David autem rex genuit Salomonem ex ea quae fuit Uriae
la,VULGATA,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.7,Matt 1:7,6,Salomon autem genuit Roboam Roboam autem genuit Abiam Abia autem genuit Asa
la,VULGATA,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.8,Matt 1:8,7,Asa autem genuit Iosaphat Iosaphat autem genuit Ioram Ioram autem genuit Oziam
la,VULGATA,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.9,Matt 1:9,8,Ozias autem genuit Ioatham Ioatham autem genuit Achaz Achaz autem genuit Ezechiam
la,VULGATA,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.10,Matt 1:10,9,Ezechias autem genuit Manassen Manasses autem genuit Amon Amon autem genuit Iosiam
la,VULGATA,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.11,Matt 1:11,10,Iosias autem genuit Iechoniam et fratres eius in transmigratione Babylonis
la,VULGATA,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.12,Matt 1:12,11,et post transmigrationem Babylonis Iechonias genuit Salathihel Salathihel autem genuit Zorobabel
la,VULGATA,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.13,Matt 1:13,12,Zorobabel autem genuit Abiud Abiud autem genuit Eliachim Eliachim autem genuit Azor
la,VULGATA,Matt,Matt,39,Matt.1,Matt 1,0,Matt.1.14,Matt 1:14,13,Azor autem genuit Saddoc Saddoc autem genuit Achim Achim autem genuit Eliud
