languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
la,VULGATA,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.1,Luke 1:1,0,quoniam quidem multi conati sunt ordinare narrationem quae in nobis conpletae sunt rerum
la,VULGATA,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.2,Luke 1:2,1,sicut tradiderunt nobis qui ab initio ipsi viderunt et ministri fuerunt sermonis
la,VULGATA,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.3,Luke 1:3,2,visum est et mihi adsecuto a principio omnibus diligenter ex ordine tibi scribere optime Theophile
la,VULGATA,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.4,Luke 1:4,3,ut cognoscas eorum verborum de quibus eruditus es veritatem
la,VULGATA,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.5,Luke 1:5,4,fuit in diebus Herodis regis Iudaeae sacerdos quidam nomine Zaccharias de vice Abia et uxor illi de filiabus Aaron et nomen eius Elisabeth
la,VULGATA,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.6,Luke 1:6,5,erant autem iusti ambo ante Deum incedentes in omnibus mandatis et iustificationibus Domini sine querella
la,VULGATA,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.7,Luke 1:7,6,et non erat illis filius eo quod esset Elisabeth sterilis et ambo processissent in diebus suis
la,VULGATA,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.8,Luke 1:8,7,factum est autem cum sacerdotio fungeretur in ordine vicis suae ante Deum
la,VULGATA,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.9,Luke 1:9,8,secundum consuetudinem sacerdotii sorte exiit ut incensum poneret ingressus in templum Domini
la,VULGATA,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.10,Luke 1:10,9,et omnis multitudo erat populi orans foris hora incensi
la,VULGATA,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.11,Luke 1:11,10,apparuit autem illi angelus Domini stans a dextris altaris incensi
la,VULGATA,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.12,Luke 1:12,11,et Zaccharias turbatus est videns et timor inruit super eum
la,VULGATA,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.13,Luke 1:13,12,ait autem ad illum angelus ne timeas Zaccharia quoniam exaudita est deprecatio tua et uxor tua Elisabeth pariet tibi filium et vocabis nomen eius Iohannem
la,VULGATA,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.14,Luke 1:14,13,et erit gaudium tibi et exultatio et multi in nativitate eius gaudebunt
la,VULGATA,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.15,Luke 1:15,14,erit enim magnus coram Domino et vinum et sicera non bibet et Spiritu Sancto replebitur adhuc ex utero matris suae
la,VULGATA,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.16,Luke 1:16,15,et multos filiorum Israhel convertet ad Dominum Deum ipsorum
